time_slot,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-09-09T00:00Z,230,248,94,92
2023-09-09T00:30Z,219,233,156,164
2023-09-09T01:00Z,217,222,208,204
2023-09-09T01:30Z,214,222,241,237
2023-09-09T02:00Z,211,212,288,280
2023-09-09T02:30Z,208,213,349,354
2023-09-09T03:00Z,208,214,410,404
2023-09-09T03:30Z,215,211,426,413
2023-09-09T04:00Z,215,209,575,549
2023-09-09T04:30Z,216,218,607,608
2023-09-09T05:00Z,213,216,590,619
2023-09-09T05:30Z,208,218,634,634
2023-09-09T06:00Z,203,211,805,798
2023-09-09T06:30Z,198,211,839,810
2023-09-09T07:00Z,191,210,944,910
2023-09-09T07:30Z,184,199,930,936
2023-09-09T08:00Z,177,191,957,955
2023-09-09T08:30Z,168,182,995,1000
2023-09-09T09:00Z,158,169,979,958
2023-09-09T09:30Z,147,165,762,769
2023-09-09T10:00Z,138,156,767,756
2023-09-09T10:30Z,130,149,645,669
2023-09-09T11:00Z,126,139,671,674
2023-09-09T11:30Z,125,130,586,560
2023-09-09T12:00Z,125,128,529,538
2023-09-09T12:30Z,126,130,614,603
2023-09-09T13:00Z,132,129,604,596
2023-09-09T13:30Z,140,131,751,726
2023-09-09T14:00Z,148,137,760,735
2023-09-09T14:30Z,162,144,911,880
2023-09-09T15:00Z,181,162,862,873
2023-09-09T15:30Z,204,179,975,994
2023-09-09T16:00Z,219,195,977,957
2023-09-09T16:30Z,235,222,897,875
2023-09-09T17:00Z,246,230,869,838
2023-09-09T17:30Z,251,238,771,809
2023-09-09T18:00Z,254,253,619,647
2023-09-09T18:30Z,261,260,527,521
2023-09-09T19:00Z,263,263,496,476
2023-09-09T19:30Z,270,263,390,372
2023-09-09T20:00Z,271,262,310,303
2023-09-09T20:30Z,275,268,275,277
2023-09-09T21:00Z,267,271,238,248
2023-09-09T21:30Z,247,269,219,217
2023-09-09T22:00Z,236,262,195,188
2023-09-09T22:30Z,227,241,180,182
2023-09-09T23:00Z,227,239,154,152
2023-09-09T23:30Z,219,230,122,118
