time_slot,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-03-25T00:00Z,57,73,94,95
2023-03-25T00:30Z,57,73,164,163
2023-03-25T01:00Z,57,71,198,198
2023-03-25T01:30Z,56,71,279,268
2023-03-25T02:00Z,59,71,294,303
2023-03-25T02:30Z,59,67,325,319
2023-03-25T03:00Z,58,68,428,440
2023-03-25T03:30Z,57,66,474,480
2023-03-25T04:00Z,58,67,556,547
2023-03-25T04:30Z,58,70,597,610
2023-03-25T05:00Z,58,70,655,668
2023-03-25T05:30Z,58,71,656,640
2023-03-25T06:00Z,56,70,714,746
2023-03-25T06:30Z,56,68,760,764
2023-03-25T07:00Z,56,67,897,855
2023-03-25T07:30Z,56,65,894,852
2023-03-25T08:00Z,53,58,934,976
2023-03-25T08:30Z,53,57,998,1028
2023-03-25T09:00Z,50,54,813,833
2023-03-25T09:30Z,47,53,894,857
2023-03-25T10:00Z,52,51,769,741
2023-03-25T10:30Z,51,44,699,674
2023-03-25T11:00Z,50,44,670,679
2023-03-25T11:30Z,51,46,592,614
2023-03-25T12:00Z,56,35,522,506
2023-03-25T12:30Z,55,50,598,587
2023-03-25T13:00Z,53,56,587,581
2023-03-25T13:30Z,58,52,690,658
2023-03-25T14:00Z,63,56,830,818
2023-03-25T14:30Z,70,55,782,823
2023-03-25T15:00Z,89,70,906,879
2023-03-25T15:30Z,106,79,960,980
2023-03-25T16:00Z,121,106,925,911
2023-03-25T16:30Z,150,127,967,927
2023-03-25T17:00Z,165,134,793,824
2023-03-25T17:30Z,178,161,757,788
2023-03-25T18:00Z,186,177,580,604
2023-03-25T18:30Z,189,187,615,612
2023-03-25T19:00Z,188,189,422,432
2023-03-25T19:30Z,187,185,363,360
2023-03-25T20:00Z,185,199,312,306
2023-03-25T20:30Z,189,180,276,285
2023-03-25T21:00Z,190,186,240,237
2023-03-25T21:30Z,190,191,203,208
2023-03-25T22:00Z,177,187,215,216
2023-03-25T22:30Z,171,184,172,166
2023-03-25T23:00Z,164,176,158,153
2023-03-25T23:30Z,160,172,122,128
