time_slot,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-05-20T00:00Z,129,133,94,98
2023-05-20T00:30Z,134,145,150,144
2023-05-20T01:00Z,129,146,185,185
2023-05-20T01:30Z,126,139,234,246
2023-05-20T02:00Z,122,138,317,326
2023-05-20T02:30Z,122,136,374,362
2023-05-20T03:00Z,120,141,430,432
2023-05-20T03:30Z,115,150,473,460
2023-05-20T04:00Z,115,149,488,480
2023-05-20T04:30Z,118,124,594,567
2023-05-20T05:00Z,121,129,567,562
2023-05-20T05:30Z,125,130,686,657
2023-05-20T06:00Z,116,129,766,738
2023-05-20T06:30Z,100,131,832,823
2023-05-20T07:00Z,89,130,918,899
2023-05-20T07:30Z,87,105,927,927
2023-05-20T08:00Z,78,101,1020,988
2023-05-20T08:30Z,71,112,887,883
2023-05-20T09:00Z,66,105,903,869
2023-05-20T09:30Z,61,72,897,876
2023-05-20T10:00Z,58,71,789,792
2023-05-20T10:30Z,58,64,624,640
2023-05-20T11:00Z,56,64,555,570
2023-05-20T11:30Z,56,60,568,561
2023-05-20T12:00Z,55,62,526,513
2023-05-20T12:30Z,54,56,544,543
2023-05-20T13:00Z,54,59,672,664
2023-05-20T13:30Z,57,58,703,720
2023-05-20T14:00Z,58,61,741,774
2023-05-20T14:30Z,62,61,748,765
2023-05-20T15:00Z,75,64,801,820
2023-05-20T15:30Z,91,67,829,845
2023-05-20T16:00Z,105,73,952,949
2023-05-20T16:30Z,115,101,874,907
2023-05-20T17:00Z,122,109,858,882
2023-05-20T17:30Z,127,123,686,673
2023-05-20T18:00Z,134,127,650,637
2023-05-20T18:30Z,137,136,549,575
2023-05-20T19:00Z,141,143,438,443
2023-05-20T19:30Z,145,155,400,399
2023-05-20T20:00Z,147,158,297,300
2023-05-20T20:30Z,146,148,253,261
2023-05-20T21:00Z,138,150,255,258
2023-05-20T21:30Z,126,147,211,203
2023-05-20T22:00Z,120,138,211,210
2023-05-20T22:30Z,119,124,187,184
2023-05-20T23:00Z,115,126,142,138
2023-05-20T23:30Z,117,120,126,123
