time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-01-28T00:00Z,HighPower,242,247,92,97
2023-01-28T00:30Z,HighPower,243,246,153,147
2023-01-28T01:00Z,HighPower,243,249,205,198
2023-01-28T01:30Z,HighPower,242,246,234,242
2023-01-28T02:00Z,HighPower,240,246,303,300
2023-01-28T02:30Z,HighPower,242,246,349,342
2023-01-28T03:00Z,HighPower,241,248,371,363
2023-01-28T03:30Z,HighPower,240,247,460,442
2023-01-28T04:00Z,HighPower,242,250,438,452
2023-01-28T04:30Z,HighPower,238,248,532,517
2023-01-28T05:00Z,HighPower,241,252,604,594
2023-01-28T05:30Z,HighPower,245,254,746,749
2023-01-28T06:00Z,HighPower,250,258,748,745
2023-01-28T06:30Z,HighPower,256,254,820,817
2023-01-28T07:00Z,HighPower,269,261,921,944
2023-01-28T07:30Z,MediumPower,270,266,971,1008
2023-01-28T08:00Z,MediumPower,270,269,1030,1013
2023-01-28T08:30Z,HighPower,273,269,887,886
2023-01-28T09:00Z,HighPower,262,267,899,878
2023-01-28T09:30Z,MediumPower,262,271,801,788
2023-01-28T10:00Z,HighPower,255,265,792,816
2023-01-28T10:30Z,HighPower,254,264,627,621
2023-01-28T11:00Z,HighPower,255,257,628,606
2023-01-28T11:30Z,HighPower,256,252,564,579
2023-01-28T12:00Z,HighPower,256,260,502,510
2023-01-28T12:30Z,HighPower,254,262,560,568
2023-01-28T13:00Z,HighPower,255,263,665,656
2023-01-28T13:30Z,HighPower,255,261,632,650
2023-01-28T14:00Z,HighPower,263,258,778,798
2023-01-28T14:30Z,HighPower,266,256,886,877
2023-01-28T15:00Z,HighPower,268,263,805,790
2023-01-28T15:30Z,MediumPower,270,272,885,902
2023-01-28T16:00Z,MediumPower,266,271,927,972
2023-01-28T16:30Z,HighPower,259,271,931,890
2023-01-28T17:00Z,MediumPower,251,274,805,830
2023-01-28T17:30Z,HighPower,250,264,695,699
2023-01-28T18:00Z,HighPower,252,257,695,667
2023-01-28T18:30Z,HighPower,252,254,591,602
2023-01-28T19:00Z,HighPower,262,256,492,512
2023-01-28T19:30Z,HighPower,256,254,413,410
2023-01-28T20:00Z,HighPower,265,264,293,283
2023-01-28T20:30Z,HighPower,259,256,299,288
2023-01-28T21:00Z,HighPower,256,255,258,263
2023-01-28T21:30Z,HighPower,242,246,219,229
2023-01-28T22:00Z,HighPower,223,250,199,206
2023-01-28T22:30Z,HighPower,210,236,171,167
2023-01-28T23:00Z,HighPower,176,219,154,158
2023-01-28T23:30Z,HighPower,164,203,123,118
