time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-11-04T00:00Z,HighPower,129,108,102,101
2023-11-04T00:30Z,HighPower,122,103,147,151
2023-11-04T01:00Z,HighPower,127,108,181,190
2023-11-04T01:30Z,HighPower,135,101,258,255
2023-11-04T02:00Z,HighPower,149,110,298,288
2023-11-04T02:30Z,HighPower,158,117,383,370
2023-11-04T03:00Z,HighPower,156,121,398,386
2023-11-04T03:30Z,HighPower,156,137,412,408
2023-11-04T04:00Z,HighPower,151,141,506,493
2023-11-04T04:30Z,HighPower,153,141,521,518
2023-11-04T05:00Z,HighPower,149,140,585,591
2023-11-04T05:30Z,HighPower,164,138,628,638
2023-11-04T06:00Z,HighPower,166,138,775,777
2023-11-04T06:30Z,HighPower,167,149,778,810
2023-11-04T07:00Z,HighPower,157,152,844,874
2023-11-04T07:30Z,HighPower,172,159,950,933
2023-11-04T08:00Z,HighPower,179,146,955,992
2023-11-04T08:30Z,HighPower,180,153,928,886
2023-11-04T09:00Z,HighPower,176,160,866,903
2023-11-04T09:30Z,HighPower,174,166,850,890
2023-11-04T10:00Z,HighPower,175,161,711,727
2023-11-04T10:30Z,HighPower,182,159,725,725
2023-11-04T11:00Z,HighPower,175,155,633,653
2023-11-04T11:30Z,HighPower,169,158,511,512
2023-11-04T12:00Z,HighPower,159,165,492,487
2023-11-04T12:30Z,HighPower,159,163,593,575
2023-11-04T13:00Z,HighPower,160,143,679,663
2023-11-04T13:30Z,HighPower,149,144,711,686
2023-11-04T14:00Z,MediumPower,143,169,732,699
2023-11-04T14:30Z,HighPower,147,166,730,755
2023-11-04T15:00Z,HighPower,159,154,782,799
2023-11-04T15:30Z,HighPower,166,161,962,934
2023-11-04T16:00Z,MediumPower,177,169,1040,1063
2023-11-04T16:30Z,MediumPower,181,178,867,885
2023-11-04T17:00Z,MediumPower,175,178,774,786
2023-11-04T17:30Z,MediumPower,179,187,675,674
2023-11-04T18:00Z,MediumPower,194,176,662,665
2023-11-04T18:30Z,HighPower,194,176,588,561
2023-11-04T19:00Z,MediumPower,192,191,495,504
2023-11-04T19:30Z,MediumPower,187,201,412,412
2023-11-04T20:00Z,MediumPower,190,197,315,322
2023-11-04T20:30Z,MediumPower,186,196,252,259
2023-11-04T21:00Z,MediumPower,183,200,249,247
2023-11-04T21:30Z,HighPower,186,197,212,216
2023-11-04T22:00Z,HighPower,180,197,209,204
2023-11-04T22:30Z,HighPower,169,177,162,163
2023-11-04T23:00Z,HighPower,169,181,153,158
2023-11-04T23:30Z,HighPower,168,174,114,112
