time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-09-09T00:00Z,HighPower,230,248,92,93
2023-09-09T00:30Z,HighPower,219,233,139,135
2023-09-09T01:00Z,HighPower,217,222,200,199
2023-09-09T01:30Z,HighPower,214,222,237,242
2023-09-09T02:00Z,HighPower,211,212,305,292
2023-09-09T02:30Z,HighPower,208,213,310,320
2023-09-09T03:00Z,HighPower,208,214,381,383
2023-09-09T03:30Z,HighPower,215,211,436,451
2023-09-09T04:00Z,HighPower,215,209,517,536
2023-09-09T04:30Z,MediumPower,216,218,527,542
2023-09-09T05:00Z,HighPower,213,216,595,589
2023-09-09T05:30Z,HighPower,208,218,716,725
2023-09-09T06:00Z,HighPower,203,211,860,821
2023-09-09T06:30Z,HighPower,198,211,837,846
2023-09-09T07:00Z,MediumPower,191,210,828,843
2023-09-09T07:30Z,HighPower,184,199,909,948
2023-09-09T08:00Z,HighPower,177,191,896,912
2023-09-09T08:30Z,HighPower,168,182,903,869
2023-09-09T09:00Z,HighPower,158,169,872,833
2023-09-09T09:30Z,HighPower,147,165,884,883
2023-09-09T10:00Z,HighPower,138,156,820,818
2023-09-09T10:30Z,HighPower,130,149,716,686
2023-09-09T11:00Z,HighPower,126,139,596,626
2023-09-09T11:30Z,HighPower,125,130,601,610
2023-09-09T12:00Z,HighPower,125,128,456,459
2023-09-09T12:30Z,HighPower,126,130,604,586
2023-09-09T13:00Z,HighPower,132,129,618,647
2023-09-09T13:30Z,HighPower,140,131,702,694
2023-09-09T14:00Z,HighPower,148,137,786,794
2023-09-09T14:30Z,HighPower,162,144,854,855
2023-09-09T15:00Z,HighPower,181,162,903,894
2023-09-09T15:30Z,HighPower,204,179,1012,993
2023-09-09T16:00Z,HighPower,219,195,1118,1069
2023-09-09T16:30Z,MediumPower,235,222,925,964
2023-09-09T17:00Z,MediumPower,246,230,868,857
2023-09-09T17:30Z,MediumPower,251,238,752,728
2023-09-09T18:00Z,MediumPower,254,253,714,710
2023-09-09T18:30Z,HighPower,261,260,553,529
2023-09-09T19:00Z,MediumPower,263,263,481,483
2023-09-09T19:30Z,MediumPower,270,263,364,377
2023-09-09T20:00Z,MediumPower,271,262,275,287
2023-09-09T20:30Z,MediumPower,275,268,265,254
2023-09-09T21:00Z,MediumPower,267,271,276,267
2023-09-09T21:30Z,MediumPower,247,269,230,242
2023-09-09T22:00Z,HighPower,236,262,222,216
2023-09-09T22:30Z,HighPower,227,241,191,189
2023-09-09T23:00Z,HighPower,227,239,140,136
2023-09-09T23:30Z,HighPower,219,230,124,129
