time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-03-25T00:00Z,HighPower,57,73,96,99
2023-03-25T00:30Z,HighPower,57,73,164,158
2023-03-25T01:00Z,HighPower,57,71,214,214
2023-03-25T01:30Z,HighPower,56,71,257,254
2023-03-25T02:00Z,HighPower,59,71,296,298
2023-03-25T02:30Z,HighPower,59,67,308,320
2023-03-25T03:00Z,HighPower,58,68,363,378
2023-03-25T03:30Z,HighPower,57,66,487,488
2023-03-25T04:00Z,HighPower,58,67,520,544
2023-03-25T04:30Z,HighPower,58,70,627,600
2023-03-25T05:00Z,HighPower,58,70,670,661
2023-03-25T05:30Z,HighPower,58,71,695,723
2023-03-25T06:00Z,HighPower,56,70,698,693
2023-03-25T06:30Z,HighPower,56,68,816,803
2023-03-25T07:00Z,HighPower,56,67,766,785
2023-03-25T07:30Z,HighPower,56,65,1022,991
2023-03-25T08:00Z,HighPower,53,58,1035,1058
2023-03-25T08:30Z,HighPower,53,57,948,998
2023-03-25T09:00Z,HighPower,50,54,886,897
2023-03-25T09:30Z,HighPower,47,53,774,776
2023-03-25T10:00Z,HighPower,52,51,702,735
2023-03-25T10:30Z,HighPower,51,44,638,617
2023-03-25T11:00Z,HighPower,50,44,567,592
2023-03-25T11:30Z,HighPower,51,46,585,581
2023-03-25T12:00Z,HighPower,56,35,489,493
2023-03-25T12:30Z,HighPower,55,50,504,525
2023-03-25T13:00Z,HighPower,53,56,645,667
2023-03-25T13:30Z,HighPower,58,52,660,675
2023-03-25T14:00Z,HighPower,63,56,716,742
2023-03-25T14:30Z,HighPower,70,55,727,756
2023-03-25T15:00Z,HighPower,89,70,899,857
2023-03-25T15:30Z,HighPower,106,79,1020,1024
2023-03-25T16:00Z,HighPower,121,106,932,979
2023-03-25T16:30Z,HighPower,150,127,882,850
2023-03-25T17:00Z,HighPower,165,134,859,889
2023-03-25T17:30Z,MediumPower,178,161,779,768
2023-03-25T18:00Z,MediumPower,186,177,591,588
2023-03-25T18:30Z,HighPower,189,187,512,506
2023-03-25T19:00Z,HighPower,188,189,439,454
2023-03-25T19:30Z,HighPower,187,185,389,376
2023-03-25T20:00Z,MediumPower,185,199,319,318
2023-03-25T20:30Z,HighPower,189,180,240,250
2023-03-25T21:00Z,MediumPower,190,186,251,261
2023-03-25T21:30Z,MediumPower,190,191,213,222
2023-03-25T22:00Z,MediumPower,177,187,183,188
2023-03-25T22:30Z,HighPower,171,184,167,161
2023-03-25T23:00Z,HighPower,164,176,151,148
2023-03-25T23:30Z,HighPower,160,172,110,116
init_date,2023-03-25T00:30:00+00:00
emissions,512180
error,1
optimal,true
