time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-05-20T00:00Z,HighPower,129,133,86,90
2023-05-20T00:30Z,HighPower,134,145,154,149
2023-05-20T01:00Z,HighPower,129,146,189,183
2023-05-20T01:30Z,HighPower,126,139,228,228
2023-05-20T02:00Z,HighPower,122,138,296,304
2023-05-20T02:30Z,HighPower,122,136,346,362
2023-05-20T03:00Z,HighPower,120,141,386,389
2023-05-20T03:30Z,HighPower,115,150,466,456
2023-05-20T04:00Z,MediumPower,115,149,492,499
2023-05-20T04:30Z,HighPower,118,124,514,513
2023-05-20T05:00Z,HighPower,121,129,555,576
2023-05-20T05:30Z,HighPower,125,130,630,634
2023-05-20T06:00Z,HighPower,116,129,767,782
2023-05-20T06:30Z,HighPower,100,131,786,805
2023-05-20T07:00Z,HighPower,89,130,835,802
2023-05-20T07:30Z,HighPower,87,105,853,866
2023-05-20T08:00Z,HighPower,78,101,1030,1014
2023-05-20T08:30Z,HighPower,71,112,1016,973
2023-05-20T09:00Z,HighPower,66,105,878,924
2023-05-20T09:30Z,HighPower,61,72,754,791
2023-05-20T10:00Z,HighPower,58,71,766,756
2023-05-20T10:30Z,HighPower,58,64,697,722
2023-05-20T11:00Z,HighPower,56,64,655,667
2023-05-20T11:30Z,HighPower,56,60,547,546
2023-05-20T12:00Z,HighPower,55,62,520,500
2023-05-20T12:30Z,HighPower,54,56,580,594
2023-05-20T13:00Z,HighPower,54,59,660,635
2023-05-20T13:30Z,HighPower,57,58,626,644
2023-05-20T14:00Z,HighPower,58,61,745,743
2023-05-20T14:30Z,HighPower,62,61,763,790
2023-05-20T15:00Z,HighPower,75,64,850,848
2023-05-20T15:30Z,HighPower,91,67,940,933
2023-05-20T16:00Z,HighPower,105,73,1031,991
2023-05-20T16:30Z,HighPower,115,101,958,936
2023-05-20T17:00Z,HighPower,122,109,857,886
2023-05-20T17:30Z,MediumPower,127,123,819,800
2023-05-20T18:00Z,HighPower,134,127,623,606
2023-05-20T18:30Z,HighPower,137,136,585,572
2023-05-20T19:00Z,HighPower,141,143,496,490
2023-05-20T19:30Z,MediumPower,145,155,404,405
2023-05-20T20:00Z,MediumPower,147,158,321,316
2023-05-20T20:30Z,HighPower,146,148,292,288
2023-05-20T21:00Z,MediumPower,138,150,243,236
2023-05-20T21:30Z,HighPower,126,147,211,213
2023-05-20T22:00Z,HighPower,120,138,203,201
2023-05-20T22:30Z,HighPower,119,124,172,170
2023-05-20T23:00Z,HighPower,115,126,159,156
2023-05-20T23:30Z,HighPower,117,120,132,136
init_date,2023-05-20T00:30:00+00:00
emissions,537806
error,2
optimal,true
