time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-09-09T00:00Z,HighPower,230,248,102,102
2023-09-09T00:30Z,HighPower,219,233,148,152
2023-09-09T01:00Z,HighPower,217,222,181,182
2023-09-09T01:30Z,HighPower,214,222,234,230
2023-09-09T02:00Z,HighPower,211,212,268,275
2023-09-09T02:30Z,HighPower,208,213,359,366
2023-09-09T03:00Z,HighPower,208,214,447,437
2023-09-09T03:30Z,HighPower,215,211,470,480
2023-09-09T04:00Z,HighPower,215,209,538,543
2023-09-09T04:30Z,HighPower,216,218,556,561
2023-09-09T05:00Z,HighPower,213,216,582,603
2023-09-09T05:30Z,HighPower,208,218,717,711
2023-09-09T06:00Z,HighPower,203,211,707,739
2023-09-09T06:30Z,HighPower,198,211,784,819
2023-09-09T07:00Z,HighPower,191,210,783,801
2023-09-09T07:30Z,HighPower,184,199,1009,971
2023-09-09T08:00Z,HighPower,177,191,983,982
2023-09-09T08:30Z,HighPower,168,182,945,901
2023-09-09T09:00Z,HighPower,158,169,894,856
2023-09-09T09:30Z,HighPower,147,165,858,839
2023-09-09T10:00Z,HighPower,138,156,844,807
2023-09-09T10:30Z,HighPower,130,149,682,658
2023-09-09T11:00Z,HighPower,126,139,651,626
2023-09-09T11:30Z,HighPower,125,130,520,524
2023-09-09T12:00Z,HighPower,125,128,523,549
2023-09-09T12:30Z,HighPower,126,130,610,615
2023-09-09T13:00Z,HighPower,132,129,595,626
2023-09-09T13:30Z,HighPower,140,131,634,638
2023-09-09T14:00Z,HighPower,148,137,737,716
2023-09-09T14:30Z,HighPower,162,144,830,837
2023-09-09T15:00Z,HighPower,181,162,817,805
2023-09-09T15:30Z,HighPower,204,179,945,981
2023-09-09T16:00Z,HighPower,219,195,1023,1019
2023-09-09T16:30Z,HighPower,235,222,996,950
2023-09-09T17:00Z,HighPower,246,230,909,898
2023-09-09T17:30Z,HighPower,251,238,709,691
2023-09-09T18:00Z,MediumPower,254,253,610,616
2023-09-09T18:30Z,MediumPower,261,260,595,586
2023-09-09T19:00Z,MediumPower,263,263,477,456
2023-09-09T19:30Z,HighPower,270,263,395,404
2023-09-09T20:00Z,HighPower,271,262,304,301
2023-09-09T20:30Z,MediumPower,275,268,271,280
2023-09-09T21:00Z,HighPower,267,271,241,233
2023-09-09T21:30Z,HighPower,247,269,213,204
2023-09-09T22:00Z,MediumPower,236,262,186,183
2023-09-09T22:30Z,HighPower,227,241,184,177
2023-09-09T23:00Z,HighPower,227,239,154,159
2023-09-09T23:30Z,HighPower,219,230,126,128
init_date,2023-09-09T00:30:00+00:00
emissions,1286784
error,2
optimal,true
