time_slot,strategy,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-04-22T00:00Z,LowPower,169,159,95,98
2023-04-22T00:30Z,LowPower,161,168,147,143
2023-04-22T01:00Z,LowPower,161,170,179,180
2023-04-22T01:30Z,LowPower,161,163,258,264
2023-04-22T02:00Z,LowPower,161,165,317,308
2023-04-22T02:30Z,LowPower,165,159,323,333
2023-04-22T03:00Z,LowPower,166,168,399,419
2023-04-22T03:30Z,LowPower,162,168,441,455
2023-04-22T04:00Z,LowPower,156,168,484,493
2023-04-22T04:30Z,LowPower,153,165,525,507
2023-04-22T05:00Z,LowPower,161,163,597,571
2023-04-22T05:30Z,LowPower,162,186,722,739
2023-04-22T06:00Z,MediumPower,162,154,819,808
2023-04-22T06:30Z,LowPower,163,168,808,817
2023-04-22T07:00Z,MediumPower,160,154,974,930
2023-04-22T07:30Z,LowPower,156,162,952,949
2023-04-22T08:00Z,LowPower,151,157,970,930
2023-04-22T08:30Z,LowPower,145,158,833,867
2023-04-22T09:00Z,MediumPower,140,152,879,840
2023-04-22T09:30Z,MediumPower,135,144,847,876
2023-04-22T10:00Z,MediumPower,130,141,828,792
2023-04-22T10:30Z,MediumPower,125,137,716,734
2023-04-22T11:00Z,MediumPower,127,132,645,672
2023-04-22T11:30Z,MediumPower,125,122,523,527
2023-04-22T12:00Z,MediumPower,129,123,485,475
2023-04-22T12:30Z,MediumPower,133,127,507,517
2023-04-22T13:00Z,MediumPower,136,132,665,659
2023-04-22T13:30Z,MediumPower,144,136,739,739
2023-04-22T14:00Z,MediumPower,147,148,725,734
2023-04-22T14:30Z,MediumPower,158,152,836,830
2023-04-22T15:00Z,LowPower,166,161,792,812
2023-04-22T15:30Z,LowPower,169,163,1035,1014
2023-04-22T16:00Z,LowPower,176,173,1019,1073
2023-04-22T16:30Z,LowPower,177,174,1041,999
2023-04-22T17:00Z,LowPower,182,181,878,875
2023-04-22T17:30Z,LowPower,188,183,809,792
2023-04-22T18:00Z,LowPower,191,187,600,586
2023-04-22T18:30Z,LowPower,192,196,595,586
2023-04-22T19:00Z,LowPower,194,198,449,456
2023-04-22T19:30Z,LowPower,200,195,399,417
2023-04-22T20:00Z,LowPower,196,196,323,318
2023-04-22T20:30Z,LowPower,192,200,289,295
2023-04-22T21:00Z,LowPower,182,209,261,266
2023-04-22T21:30Z,LowPower,144,184,222,215
2023-04-22T22:00Z,LowPower,128,180,215,211
2023-04-22T22:30Z,MediumPower,118,148,157,161
2023-04-22T23:00Z,MediumPower,112,143,157,161
2023-04-22T23:30Z,MediumPower,108,133,132,134
