time_slot,strategy
2023-06-17T00:00Z,HighPower
2023-06-17T00:30Z,MediumPower
2023-06-17T01:00Z,MediumPower
2023-06-17T01:30Z,MediumPower
2023-06-17T02:00Z,MediumPower
2023-06-17T02:30Z,MediumPower
2023-06-17T03:00Z,MediumPower
2023-06-17T03:30Z,MediumPower
2023-06-17T04:00Z,MediumPower
2023-06-17T04:30Z,MediumPower
2023-06-17T05:00Z,MediumPower
2023-06-17T05:30Z,MediumPower
2023-06-17T06:00Z,MediumPower
2023-06-17T06:30Z,MediumPower
2023-06-17T07:00Z,HighPower
2023-06-17T07:30Z,HighPower
2023-06-17T08:00Z,HighPower
2023-06-17T08:30Z,HighPower
2023-06-17T09:00Z,HighPower
2023-06-17T09:30Z,HighPower
2023-06-17T10:00Z,HighPower
2023-06-17T10:30Z,HighPower
2023-06-17T11:00Z,HighPower
2023-06-17T11:30Z,HighPower
2023-06-17T12:00Z,HighPower
2023-06-17T12:30Z,HighPower
2023-06-17T13:00Z,HighPower
2023-06-17T13:30Z,HighPower
2023-06-17T14:00Z,HighPower
2023-06-17T14:30Z,HighPower
2023-06-17T15:00Z,HighPower
2023-06-17T15:30Z,HighPower
2023-06-17T16:00Z,HighPower
2023-06-17T16:30Z,HighPower
2023-06-17T17:00Z,HighPower
2023-06-17T17:30Z,HighPower
2023-06-17T18:00Z,HighPower
2023-06-17T18:30Z,HighPower
2023-06-17T19:00Z,HighPower
2023-06-17T19:30Z,HighPower
2023-06-17T20:00Z,HighPower
2023-06-17T20:30Z,HighPower
2023-06-17T21:00Z,HighPower
2023-06-17T21:30Z,HighPower
2023-06-17T22:00Z,HighPower
2023-06-17T22:30Z,HighPower
2023-06-17T23:00Z,HighPower
2023-06-17T23:30Z,HighPower
