time_slot,strategy,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-02-25T00:00Z,LowPower,96,133,109,110
2023-02-25T00:30Z,LowPower,104,111,146,151
2023-02-25T01:00Z,LowPower,102,113,219,219
2023-02-25T01:30Z,LowPower,100,107,274,268
2023-02-25T02:00Z,LowPower,96,107,262,271
2023-02-25T02:30Z,LowPower,93,107,358,365
2023-02-25T03:00Z,LowPower,88,109,435,415
2023-02-25T03:30Z,LowPower,90,97,459,453
2023-02-25T04:00Z,LowPower,92,93,474,477
2023-02-25T04:30Z,LowPower,91,91,579,578
2023-02-25T05:00Z,LowPower,92,99,554,576
2023-02-25T05:30Z,LowPower,96,94,658,677
2023-02-25T06:00Z,LowPower,97,98,729,741
2023-02-25T06:30Z,LowPower,105,93,891,884
2023-02-25T07:00Z,LowPower,116,99,912,938
2023-02-25T07:30Z,LowPower,119,112,865,890
2023-02-25T08:00Z,LowPower,113,116,957,1000
2023-02-25T08:30Z,LowPower,116,115,888,877
2023-02-25T09:00Z,LowPower,114,114,920,946
2023-02-25T09:30Z,LowPower,117,123,906,871
2023-02-25T10:00Z,LowPower,116,118,743,718
2023-02-25T10:30Z,LowPower,110,116,673,704
2023-02-25T11:00Z,LowPower,104,121,619,636
2023-02-25T11:30Z,LowPower,104,110,528,520
2023-02-25T12:00Z,LowPower,102,112,510,526
2023-02-25T12:30Z,LowPower,103,104,545,566
2023-02-25T13:00Z,LowPower,106,106,687,659
2023-02-25T13:30Z,LowPower,107,105,694,690
2023-02-25T14:00Z,LowPower,107,108,671,673
2023-02-25T14:30Z,LowPower,110,112,804,782
2023-02-25T15:00Z,LowPower,119,111,812,788
2023-02-25T15:30Z,LowPower,130,116,982,1014
2023-02-25T16:00Z,LowPower,135,125,1032,1076
2023-02-25T16:30Z,LowPower,144,147,965,972
2023-02-25T17:00Z,LowPower,152,155,785,792
2023-02-25T17:30Z,LowPower,155,161,668,671
2023-02-25T18:00Z,LowPower,158,156,712,697
2023-02-25T18:30Z,LowPower,158,153,620,610
2023-02-25T19:00Z,LowPower,157,151,453,433
2023-02-25T19:30Z,LowPower,158,151,367,383
2023-02-25T20:00Z,LowPower,161,158,271,274
2023-02-25T20:30Z,LowPower,164,149,284,289
2023-02-25T21:00Z,LowPower,163,158,272,263
2023-02-25T21:30Z,LowPower,156,164,202,208
2023-02-25T22:00Z,LowPower,152,155,192,199
2023-02-25T22:30Z,LowPower,147,151,176,177
2023-02-25T23:00Z,LowPower,130,149,141,143
2023-02-25T23:30Z,LowPower,125,149,131,134
