time_slot,strategy,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-05-20T00:00Z,LowPower,129,133,94,98
2023-05-20T00:30Z,LowPower,134,145,150,144
2023-05-20T01:00Z,LowPower,129,146,185,185
2023-05-20T01:30Z,LowPower,126,139,234,246
2023-05-20T02:00Z,LowPower,122,138,317,326
2023-05-20T02:30Z,LowPower,122,136,374,362
2023-05-20T03:00Z,LowPower,120,141,430,432
2023-05-20T03:30Z,LowPower,115,150,473,460
2023-05-20T04:00Z,LowPower,115,149,488,480
2023-05-20T04:30Z,LowPower,118,124,594,567
2023-05-20T05:00Z,LowPower,121,129,567,562
2023-05-20T05:30Z,LowPower,125,130,686,657
2023-05-20T06:00Z,LowPower,116,129,766,738
2023-05-20T06:30Z,LowPower,100,131,832,823
2023-05-20T07:00Z,LowPower,89,130,918,899
2023-05-20T07:30Z,LowPower,87,105,927,927
2023-05-20T08:00Z,LowPower,78,101,1020,988
2023-05-20T08:30Z,LowPower,71,112,887,883
2023-05-20T09:00Z,LowPower,66,105,903,869
2023-05-20T09:30Z,LowPower,61,72,897,876
2023-05-20T10:00Z,LowPower,58,71,789,792
2023-05-20T10:30Z,LowPower,58,64,624,640
2023-05-20T11:00Z,LowPower,56,64,555,570
2023-05-20T11:30Z,LowPower,56,60,568,561
2023-05-20T12:00Z,LowPower,55,62,526,513
2023-05-20T12:30Z,LowPower,54,56,544,543
2023-05-20T13:00Z,LowPower,54,59,672,664
2023-05-20T13:30Z,LowPower,57,58,703,720
2023-05-20T14:00Z,LowPower,58,61,741,774
2023-05-20T14:30Z,LowPower,62,61,748,765
2023-05-20T15:00Z,LowPower,75,64,801,820
2023-05-20T15:30Z,LowPower,91,67,829,845
2023-05-20T16:00Z,LowPower,105,73,952,949
2023-05-20T16:30Z,LowPower,115,101,874,907
2023-05-20T17:00Z,LowPower,122,109,858,882
2023-05-20T17:30Z,LowPower,127,123,686,673
2023-05-20T18:00Z,LowPower,134,127,650,637
2023-05-20T18:30Z,LowPower,137,136,549,575
2023-05-20T19:00Z,LowPower,141,143,438,443
2023-05-20T19:30Z,LowPower,145,155,400,399
2023-05-20T20:00Z,LowPower,147,158,297,300
2023-05-20T20:30Z,LowPower,146,148,253,261
2023-05-20T21:00Z,LowPower,138,150,255,258
2023-05-20T21:30Z,LowPower,126,147,211,203
2023-05-20T22:00Z,LowPower,120,138,211,210
2023-05-20T22:30Z,LowPower,119,124,187,184
2023-05-20T23:00Z,LowPower,115,126,142,138
2023-05-20T23:30Z,LowPower,117,120,126,123
