time_slot,strategy
2023-06-17T00:00Z,LowPower
2023-06-17T00:30Z,LowPower
2023-06-17T01:00Z,LowPower
2023-06-17T01:30Z,LowPower
2023-06-17T02:00Z,LowPower
2023-06-17T02:30Z,LowPower
2023-06-17T03:00Z,LowPower
2023-06-17T03:30Z,LowPower
2023-06-17T04:00Z,LowPower
2023-06-17T04:30Z,LowPower
2023-06-17T05:00Z,LowPower
2023-06-17T05:30Z,LowPower
2023-06-17T06:00Z,LowPower
2023-06-17T06:30Z,LowPower
2023-06-17T07:00Z,LowPower
2023-06-17T07:30Z,MediumPower
2023-06-17T08:00Z,MediumPower
2023-06-17T08:30Z,MediumPower
2023-06-17T09:00Z,MediumPower
2023-06-17T09:30Z,MediumPower
2023-06-17T10:00Z,MediumPower
2023-06-17T10:30Z,MediumPower
2023-06-17T11:00Z,MediumPower
2023-06-17T11:30Z,MediumPower
2023-06-17T12:00Z,MediumPower
2023-06-17T12:30Z,MediumPower
2023-06-17T13:00Z,MediumPower
2023-06-17T13:30Z,MediumPower
2023-06-17T14:00Z,MediumPower
2023-06-17T14:30Z,MediumPower
2023-06-17T15:00Z,MediumPower
2023-06-17T15:30Z,MediumPower
2023-06-17T16:00Z,MediumPower
2023-06-17T16:30Z,MediumPower
2023-06-17T17:00Z,MediumPower
2023-06-17T17:30Z,MediumPower
2023-06-17T18:00Z,MediumPower
2023-06-17T18:30Z,LowPower
2023-06-17T19:00Z,LowPower
2023-06-17T19:30Z,LowPower
2023-06-17T20:00Z,MediumPower
2023-06-17T20:30Z,LowPower
2023-06-17T21:00Z,MediumPower
2023-06-17T21:30Z,MediumPower
2023-06-17T22:00Z,MediumPower
2023-06-17T22:30Z,MediumPower
2023-06-17T23:00Z,MediumPower
2023-06-17T23:30Z,MediumPower
