time_slot,strategy
2023-12-02T00:00Z,LowPower
2023-12-02T00:30Z,LowPower
2023-12-02T01:00Z,LowPower
2023-12-02T01:30Z,LowPower
2023-12-02T02:00Z,LowPower
2023-12-02T02:30Z,LowPower
2023-12-02T03:00Z,LowPower
2023-12-02T03:30Z,MediumPower
2023-12-02T04:00Z,LowPower
2023-12-02T04:30Z,LowPower
2023-12-02T05:00Z,LowPower
2023-12-02T05:30Z,LowPower
2023-12-02T06:00Z,LowPower
2023-12-02T06:30Z,LowPower
2023-12-02T07:00Z,LowPower
2023-12-02T07:30Z,LowPower
2023-12-02T08:00Z,MediumPower
2023-12-02T08:30Z,LowPower
2023-12-02T09:00Z,LowPower
2023-12-02T09:30Z,MediumPower
2023-12-02T10:00Z,MediumPower
2023-12-02T10:30Z,MediumPower
2023-12-02T11:00Z,MediumPower
2023-12-02T11:30Z,MediumPower
2023-12-02T12:00Z,MediumPower
2023-12-02T12:30Z,MediumPower
2023-12-02T13:00Z,MediumPower
2023-12-02T13:30Z,MediumPower
2023-12-02T14:00Z,MediumPower
2023-12-02T14:30Z,MediumPower
2023-12-02T15:00Z,MediumPower
2023-12-02T15:30Z,MediumPower
2023-12-02T16:00Z,LowPower
2023-12-02T16:30Z,LowPower
2023-12-02T17:00Z,MediumPower
2023-12-02T17:30Z,MediumPower
2023-12-02T18:00Z,MediumPower
2023-12-02T18:30Z,MediumPower
2023-12-02T19:00Z,MediumPower
2023-12-02T19:30Z,MediumPower
2023-12-02T20:00Z,MediumPower
2023-12-02T20:30Z,MediumPower
2023-12-02T21:00Z,MediumPower
2023-12-02T21:30Z,MediumPower
2023-12-02T22:00Z,MediumPower
2023-12-02T22:30Z,MediumPower
2023-12-02T23:00Z,MediumPower
2023-12-02T23:30Z,MediumPower
