time_slot,strategy,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-09-09T00:00Z,LowPower,230,248,94,92
2023-09-09T00:30Z,LowPower,219,233,156,164
2023-09-09T01:00Z,LowPower,217,222,208,204
2023-09-09T01:30Z,LowPower,214,222,241,237
2023-09-09T02:00Z,LowPower,211,212,288,280
2023-09-09T02:30Z,LowPower,208,213,349,354
2023-09-09T03:00Z,LowPower,208,214,410,404
2023-09-09T03:30Z,LowPower,215,211,426,413
2023-09-09T04:00Z,LowPower,215,209,575,549
2023-09-09T04:30Z,LowPower,216,218,607,608
2023-09-09T05:00Z,LowPower,213,216,590,619
2023-09-09T05:30Z,LowPower,208,218,634,634
2023-09-09T06:00Z,LowPower,203,211,805,798
2023-09-09T06:30Z,LowPower,198,211,839,810
2023-09-09T07:00Z,LowPower,191,210,944,910
2023-09-09T07:30Z,LowPower,184,199,930,936
2023-09-09T08:00Z,LowPower,177,191,957,955
2023-09-09T08:30Z,LowPower,168,182,995,1000
2023-09-09T09:00Z,LowPower,158,169,979,958
2023-09-09T09:30Z,LowPower,147,165,762,769
2023-09-09T10:00Z,LowPower,138,156,767,756
2023-09-09T10:30Z,LowPower,130,149,645,669
2023-09-09T11:00Z,MediumPower,126,139,671,674
2023-09-09T11:30Z,MediumPower,125,130,586,560
2023-09-09T12:00Z,MediumPower,125,128,529,538
2023-09-09T12:30Z,MediumPower,126,130,614,603
2023-09-09T13:00Z,MediumPower,132,129,604,596
2023-09-09T13:30Z,MediumPower,140,131,751,726
2023-09-09T14:00Z,MediumPower,148,137,760,735
2023-09-09T14:30Z,LowPower,162,144,911,880
2023-09-09T15:00Z,LowPower,181,162,862,873
2023-09-09T15:30Z,LowPower,204,179,975,994
2023-09-09T16:00Z,LowPower,219,195,977,957
2023-09-09T16:30Z,LowPower,235,222,897,875
2023-09-09T17:00Z,LowPower,246,230,869,838
2023-09-09T17:30Z,LowPower,251,238,771,809
2023-09-09T18:00Z,LowPower,254,253,619,647
2023-09-09T18:30Z,LowPower,261,260,527,521
2023-09-09T19:00Z,LowPower,263,263,496,476
2023-09-09T19:30Z,LowPower,270,263,390,372
2023-09-09T20:00Z,LowPower,271,262,310,303
2023-09-09T20:30Z,LowPower,275,268,275,277
2023-09-09T21:00Z,LowPower,267,271,238,248
2023-09-09T21:30Z,LowPower,247,269,219,217
2023-09-09T22:00Z,LowPower,236,262,195,188
2023-09-09T22:30Z,LowPower,227,241,180,182
2023-09-09T23:00Z,LowPower,227,239,154,152
2023-09-09T23:30Z,LowPower,219,230,122,118
