time_slot,strategy,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-07-15T00:00Z,LowPower,73,70,101,101
2023-07-15T00:30Z,LowPower,74,71,153,150
2023-07-15T01:00Z,LowPower,74,72,190,197
2023-07-15T01:30Z,LowPower,74,72,254,262
2023-07-15T02:00Z,LowPower,74,74,285,286
2023-07-15T02:30Z,LowPower,76,74,383,375
2023-07-15T03:00Z,LowPower,77,73,446,426
2023-07-15T03:30Z,LowPower,76,75,414,413
2023-07-15T04:00Z,LowPower,72,73,526,538
2023-07-15T04:30Z,LowPower,65,74,511,533
2023-07-15T05:00Z,LowPower,63,71,601,620
2023-07-15T05:30Z,LowPower,62,67,681,701
2023-07-15T06:00Z,LowPower,59,60,706,730
2023-07-15T06:30Z,LowPower,58,60,698,734
2023-07-15T07:00Z,LowPower,56,58,936,933
2023-07-15T07:30Z,LowPower,59,59,855,875
2023-07-15T08:00Z,LowPower,56,49,986,942
2023-07-15T08:30Z,LowPower,50,53,998,993
2023-07-15T09:00Z,LowPower,47,58,862,846
2023-07-15T09:30Z,LowPower,54,49,840,873
2023-07-15T10:00Z,LowPower,58,45,806,778
2023-07-15T10:30Z,LowPower,54,50,653,654
2023-07-15T11:00Z,LowPower,50,49,581,561
2023-07-15T11:30Z,LowPower,53,54,613,609
2023-07-15T12:00Z,LowPower,50,49,457,459
2023-07-15T12:30Z,LowPower,48,50,583,587
2023-07-15T13:00Z,LowPower,49,49,603,623
2023-07-15T13:30Z,MediumPower,44,48,688,721
2023-07-15T14:00Z,LowPower,44,47,811,777
2023-07-15T14:30Z,MediumPower,39,41,832,834
2023-07-15T15:00Z,MediumPower,43,39,898,870
2023-07-15T15:30Z,MediumPower,43,40,979,989
2023-07-15T16:00Z,MediumPower,57,43,879,919
2023-07-15T16:30Z,LowPower,61,46,872,861
2023-07-15T17:00Z,LowPower,62,55,817,856
2023-07-15T17:30Z,LowPower,62,59,682,707
2023-07-15T18:00Z,LowPower,62,61,663,659
2023-07-15T18:30Z,LowPower,64,60,546,557
2023-07-15T19:00Z,LowPower,63,60,498,475
2023-07-15T19:30Z,LowPower,68,60,363,378
2023-07-15T20:00Z,LowPower,65,60,323,315
2023-07-15T20:30Z,LowPower,64,60,268,266
2023-07-15T21:00Z,LowPower,67,62,267,260
2023-07-15T21:30Z,LowPower,68,62,209,215
2023-07-15T22:00Z,LowPower,73,59,190,190
2023-07-15T22:30Z,LowPower,88,63,161,162
2023-07-15T23:00Z,LowPower,90,70,140,141
2023-07-15T23:30Z,LowPower,94,78,119,115
