time_slot,strategy,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-06-17T00:00Z,LowPower,250,250,93,98
2023-06-17T00:30Z,LowPower,253,248,130,135
2023-06-17T01:00Z,MediumPower,248,243,186,194
2023-06-17T01:30Z,MediumPower,244,243,267,263
2023-06-17T02:00Z,LowPower,242,245,323,321
2023-06-17T02:30Z,MediumPower,249,237,371,382
2023-06-17T03:00Z,LowPower,251,243,401,394
2023-06-17T03:30Z,MediumPower,249,245,484,472
2023-06-17T04:00Z,MediumPower,247,246,488,505
2023-06-17T04:30Z,MediumPower,234,243,580,574
2023-06-17T05:00Z,LowPower,231,252,603,589
2023-06-17T05:30Z,MediumPower,222,240,623,648
2023-06-17T06:00Z,MediumPower,218,236,761,738
2023-06-17T06:30Z,MediumPower,209,229,768,734
2023-06-17T07:00Z,MediumPower,204,220,809,843
2023-06-17T07:30Z,MediumPower,193,213,921,967
2023-06-17T08:00Z,MediumPower,186,207,962,981
2023-06-17T08:30Z,MediumPower,178,193,889,874
2023-06-17T09:00Z,MediumPower,173,187,907,868
2023-06-17T09:30Z,MediumPower,165,177,743,751
2023-06-17T10:00Z,MediumPower,159,173,782,766
2023-06-17T10:30Z,MediumPower,156,164,593,620
2023-06-17T11:00Z,MediumPower,153,160,620,609
2023-06-17T11:30Z,MediumPower,148,149,573,566
2023-06-17T12:00Z,MediumPower,143,151,434,453
2023-06-17T12:30Z,MediumPower,138,140,593,578
2023-06-17T13:00Z,MediumPower,134,138,599,579
2023-06-17T13:30Z,MediumPower,138,133,687,681
2023-06-17T14:00Z,MediumPower,143,135,655,681
2023-06-17T14:30Z,MediumPower,164,141,828,790
2023-06-17T15:00Z,MediumPower,169,146,845,822
2023-06-17T15:30Z,MediumPower,184,184,888,902
2023-06-17T16:00Z,MediumPower,193,180,1044,1052
2023-06-17T16:30Z,MediumPower,197,194,878,890
2023-06-17T17:00Z,MediumPower,206,198,866,866
2023-06-17T17:30Z,MediumPower,216,204,772,785
2023-06-17T18:00Z,MediumPower,224,207,637,616
2023-06-17T18:30Z,MediumPower,226,211,529,513
2023-06-17T19:00Z,MediumPower,230,216,410,427
2023-06-17T19:30Z,MediumPower,234,217,404,387
2023-06-17T20:00Z,MediumPower,233,219,334,330
2023-06-17T20:30Z,MediumPower,230,218,275,267
2023-06-17T21:00Z,MediumPower,225,218,263,258
2023-06-17T21:30Z,MediumPower,234,208,236,238
2023-06-17T22:00Z,MediumPower,224,197,210,206
2023-06-17T22:30Z,MediumPower,217,180,192,184
2023-06-17T23:00Z,MediumPower,213,177,159,163
2023-06-17T23:30Z,MediumPower,207,178,120,117
