time_slot,strategy,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-01-28T00:00Z,MediumPower,242,247,104,103
2023-01-28T00:30Z,MediumPower,243,246,134,136
2023-01-28T01:00Z,MediumPower,243,249,188,191
2023-01-28T01:30Z,MediumPower,242,246,229,236
2023-01-28T02:00Z,MediumPower,240,246,306,314
2023-01-28T02:30Z,MediumPower,242,246,377,362
2023-01-28T03:00Z,MediumPower,241,248,437,431
2023-01-28T03:30Z,MediumPower,240,247,417,413
2023-01-28T04:00Z,MediumPower,242,250,475,492
2023-01-28T04:30Z,MediumPower,238,248,520,509
2023-01-28T05:00Z,MediumPower,241,252,569,589
2023-01-28T05:30Z,MediumPower,245,254,678,687
2023-01-28T06:00Z,MediumPower,250,258,710,677
2023-01-28T06:30Z,MediumPower,256,254,771,761
2023-01-28T07:00Z,MediumPower,269,261,903,898
2023-01-28T07:30Z,MediumPower,270,266,959,942
2023-01-28T08:00Z,MediumPower,270,269,976,944
2023-01-28T08:30Z,MediumPower,273,269,980,954
2023-01-28T09:00Z,MediumPower,262,267,902,928
2023-01-28T09:30Z,MediumPower,262,271,696,731
2023-01-28T10:00Z,MediumPower,255,265,779,794
2023-01-28T10:30Z,MediumPower,254,264,695,712
2023-01-28T11:00Z,MediumPower,255,257,584,602
2023-01-28T11:30Z,MediumPower,256,252,543,520
2023-01-28T12:00Z,MediumPower,256,260,566,546
2023-01-28T12:30Z,MediumPower,254,262,533,544
2023-01-28T13:00Z,LowPower,255,263,581,573
2023-01-28T13:30Z,MediumPower,255,261,624,631
2023-01-28T14:00Z,MediumPower,263,258,833,800
2023-01-28T14:30Z,MediumPower,266,256,823,827
2023-01-28T15:00Z,MediumPower,268,263,904,926
2023-01-28T15:30Z,MediumPower,270,272,952,977
2023-01-28T16:00Z,MediumPower,266,271,1013,1007
2023-01-28T16:30Z,LowPower,259,271,974,998
2023-01-28T17:00Z,MediumPower,251,274,810,804
2023-01-28T17:30Z,MediumPower,250,264,773,744
2023-01-28T18:00Z,MediumPower,252,257,684,691
2023-01-28T18:30Z,MediumPower,252,254,556,573
2023-01-28T19:00Z,MediumPower,262,256,531,506
2023-01-28T19:30Z,MediumPower,256,254,390,390
2023-01-28T20:00Z,MediumPower,265,264,299,312
2023-01-28T20:30Z,MediumPower,259,256,238,250
2023-01-28T21:00Z,MediumPower,256,255,226,236
2023-01-28T21:30Z,MediumPower,242,246,218,216
2023-01-28T22:00Z,MediumPower,223,250,188,183
2023-01-28T22:30Z,MediumPower,210,236,164,166
2023-01-28T23:00Z,MediumPower,176,219,131,138
2023-01-28T23:30Z,MediumPower,164,203,117,119
