time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-03-25T00:00Z,HighPower,57,73,103,102
2023-03-25T00:30Z,HighPower,57,73,144,146
2023-03-25T01:00Z,HighPower,57,71,182,180
2023-03-25T01:30Z,HighPower,56,71,270,261
2023-03-25T02:00Z,HighPower,59,71,313,313
2023-03-25T02:30Z,HighPower,59,67,355,349
2023-03-25T03:00Z,HighPower,58,68,429,410
2023-03-25T03:30Z,HighPower,57,66,457,458
2023-03-25T04:00Z,HighPower,58,67,476,497
2023-03-25T04:30Z,HighPower,58,70,591,614
2023-03-25T05:00Z,HighPower,58,70,679,659
2023-03-25T05:30Z,HighPower,58,71,647,680
2023-03-25T06:00Z,HighPower,56,70,767,808
2023-03-25T06:30Z,HighPower,56,68,836,871
2023-03-25T07:00Z,HighPower,56,67,804,804
2023-03-25T07:30Z,HighPower,56,65,851,860
2023-03-25T08:00Z,HighPower,53,58,986,955
2023-03-25T08:30Z,HighPower,53,57,926,885
2023-03-25T09:00Z,HighPower,50,54,792,797
2023-03-25T09:30Z,HighPower,47,53,850,828
2023-03-25T10:00Z,HighPower,52,51,782,783
2023-03-25T10:30Z,HighPower,51,44,677,657
2023-03-25T11:00Z,HighPower,50,44,582,590
2023-03-25T11:30Z,HighPower,51,46,582,612
2023-03-25T12:00Z,HighPower,56,35,501,487
2023-03-25T12:30Z,HighPower,55,50,599,600
2023-03-25T13:00Z,HighPower,53,56,640,636
2023-03-25T13:30Z,HighPower,58,52,655,651
2023-03-25T14:00Z,HighPower,63,56,703,729
2023-03-25T14:30Z,HighPower,70,55,802,766
2023-03-25T15:00Z,HighPower,89,70,888,920
2023-03-25T15:30Z,HighPower,106,79,951,932
2023-03-25T16:00Z,HighPower,121,106,1004,1005
2023-03-25T16:30Z,HighPower,150,127,991,1000
2023-03-25T17:00Z,HighPower,165,134,788,766
2023-03-25T17:30Z,MediumPower,178,161,753,739
2023-03-25T18:00Z,MediumPower,186,177,720,708
2023-03-25T18:30Z,MediumPower,189,187,502,520
2023-03-25T19:00Z,MediumPower,188,189,445,431
2023-03-25T19:30Z,MediumPower,187,185,359,361
2023-03-25T20:00Z,MediumPower,185,199,303,295
2023-03-25T20:30Z,MediumPower,189,180,253,266
2023-03-25T21:00Z,MediumPower,190,186,243,240
2023-03-25T21:30Z,MediumPower,190,191,222,232
2023-03-25T22:00Z,MediumPower,177,187,216,209
2023-03-25T22:30Z,MediumPower,171,184,181,187
2023-03-25T23:00Z,MediumPower,164,176,129,136
2023-03-25T23:30Z,MediumPower,160,172,128,132
init_date,2023-03-25T00:30:00+00:00
emissions,486876
error,3
optimal,true
