time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-07-15T00:00Z,HighPower,73,70,88,93
2023-07-15T00:30Z,HighPower,74,71,153,156
2023-07-15T01:00Z,HighPower,74,72,224,215
2023-07-15T01:30Z,HighPower,74,72,231,243
2023-07-15T02:00Z,MediumPower,74,74,292,297
2023-07-15T02:30Z,HighPower,76,74,367,361
2023-07-15T03:00Z,MediumPower,77,73,383,371
2023-07-15T03:30Z,HighPower,76,75,415,415
2023-07-15T04:00Z,MediumPower,72,73,517,543
2023-07-15T04:30Z,MediumPower,65,74,519,513
2023-07-15T05:00Z,MediumPower,63,71,655,681
2023-07-15T05:30Z,MediumPower,62,67,725,737
2023-07-15T06:00Z,HighPower,59,60,736,713
2023-07-15T06:30Z,MediumPower,58,60,852,886
2023-07-15T07:00Z,HighPower,56,58,901,904
2023-07-15T07:30Z,HighPower,59,59,891,861
2023-07-15T08:00Z,HighPower,56,49,1072,1070
2023-07-15T08:30Z,HighPower,50,53,1040,1010
2023-07-15T09:00Z,HighPower,47,58,785,803
2023-07-15T09:30Z,HighPower,54,49,759,737
2023-07-15T10:00Z,HighPower,58,45,702,710
2023-07-15T10:30Z,HighPower,54,50,693,709
2023-07-15T11:00Z,HighPower,50,49,623,601
2023-07-15T11:30Z,HighPower,53,54,543,552
2023-07-15T12:00Z,HighPower,50,49,501,483
2023-07-15T12:30Z,HighPower,48,50,498,520
2023-07-15T13:00Z,HighPower,49,49,622,604
2023-07-15T13:30Z,HighPower,44,48,745,747
2023-07-15T14:00Z,HighPower,44,47,773,763
2023-07-15T14:30Z,HighPower,39,41,795,821
2023-07-15T15:00Z,HighPower,43,39,905,947
2023-07-15T15:30Z,HighPower,43,40,1043,1007
2023-07-15T16:00Z,HighPower,57,43,1089,1042
2023-07-15T16:30Z,HighPower,61,46,802,830
2023-07-15T17:00Z,HighPower,62,55,905,870
2023-07-15T17:30Z,HighPower,62,59,666,687
2023-07-15T18:00Z,MediumPower,62,61,600,584
2023-07-15T18:30Z,HighPower,64,60,520,515
2023-07-15T19:00Z,HighPower,63,60,451,454
2023-07-15T19:30Z,MediumPower,68,60,354,358
2023-07-15T20:00Z,HighPower,65,60,288,295
2023-07-15T20:30Z,HighPower,64,60,280,285
2023-07-15T21:00Z,HighPower,67,62,252,250
2023-07-15T21:30Z,HighPower,68,62,235,245
2023-07-15T22:00Z,HighPower,73,59,210,211
2023-07-15T22:30Z,HighPower,88,63,180,182
2023-07-15T23:00Z,HighPower,90,70,150,154
2023-07-15T23:30Z,LowPower,94,78,122,122
init_date,2023-07-15T00:30:00+00:00
emissions,289371
error,4
optimal,true
