time_slot,strategy
2023-07-15T00:00Z,MediumPower
2023-07-15T00:30Z,MediumPower
2023-07-15T01:00Z,MediumPower
2023-07-15T01:30Z,MediumPower
2023-07-15T02:00Z,MediumPower
2023-07-15T02:30Z,MediumPower
2023-07-15T03:00Z,MediumPower
2023-07-15T03:30Z,MediumPower
2023-07-15T04:00Z,MediumPower
2023-07-15T04:30Z,MediumPower
2023-07-15T05:00Z,MediumPower
2023-07-15T05:30Z,MediumPower
2023-07-15T06:00Z,MediumPower
2023-07-15T06:30Z,MediumPower
2023-07-15T07:00Z,MediumPower
2023-07-15T07:30Z,MediumPower
2023-07-15T08:00Z,MediumPower
2023-07-15T08:30Z,MediumPower
2023-07-15T09:00Z,MediumPower
2023-07-15T09:30Z,MediumPower
2023-07-15T10:00Z,MediumPower
2023-07-15T10:30Z,MediumPower
2023-07-15T11:00Z,MediumPower
2023-07-15T11:30Z,MediumPower
2023-07-15T12:00Z,MediumPower
2023-07-15T12:30Z,MediumPower
2023-07-15T13:00Z,MediumPower
2023-07-15T13:30Z,MediumPower
2023-07-15T14:00Z,MediumPower
2023-07-15T14:30Z,HighPower
2023-07-15T15:00Z,HighPower
2023-07-15T15:30Z,HighPower
2023-07-15T16:00Z,MediumPower
2023-07-15T16:30Z,MediumPower
2023-07-15T17:00Z,MediumPower
2023-07-15T17:30Z,MediumPower
2023-07-15T18:00Z,MediumPower
2023-07-15T18:30Z,MediumPower
2023-07-15T19:00Z,MediumPower
2023-07-15T19:30Z,MediumPower
2023-07-15T20:00Z,MediumPower
2023-07-15T20:30Z,MediumPower
2023-07-15T21:00Z,MediumPower
2023-07-15T21:30Z,HighPower
2023-07-15T22:00Z,MediumPower
2023-07-15T22:30Z,MediumPower
2023-07-15T23:00Z,MediumPower
2023-07-15T23:30Z,MediumPower
