time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-07-15T00:00Z,HighPower,73,70,108,105
2023-07-15T00:30Z,HighPower,74,71,134,136
2023-07-15T01:00Z,HighPower,74,72,195,197
2023-07-15T01:30Z,HighPower,74,72,246,253
2023-07-15T02:00Z,MediumPower,74,74,317,305
2023-07-15T02:30Z,HighPower,76,74,367,384
2023-07-15T03:00Z,HighPower,77,73,376,362
2023-07-15T03:30Z,MediumPower,76,75,484,469
2023-07-15T04:00Z,MediumPower,72,73,540,522
2023-07-15T04:30Z,MediumPower,65,74,546,552
2023-07-15T05:00Z,MediumPower,63,71,635,631
2023-07-15T05:30Z,MediumPower,62,67,675,655
2023-07-15T06:00Z,HighPower,59,60,713,727
2023-07-15T06:30Z,MediumPower,58,60,875,843
2023-07-15T07:00Z,HighPower,56,58,834,845
2023-07-15T07:30Z,MediumPower,59,59,1071,1024
2023-07-15T08:00Z,MediumPower,56,49,1074,1028
2023-07-15T08:30Z,MediumPower,50,53,988,984
2023-07-15T09:00Z,HighPower,47,58,773,808
2023-07-15T09:30Z,MediumPower,54,49,817,801
2023-07-15T10:00Z,HighPower,58,45,711,706
2023-07-15T10:30Z,HighPower,54,50,643,634
2023-07-15T11:00Z,HighPower,50,49,602,599
2023-07-15T11:30Z,HighPower,53,54,591,586
2023-07-15T12:00Z,HighPower,50,49,442,457
2023-07-15T12:30Z,HighPower,48,50,539,555
2023-07-15T13:00Z,HighPower,49,49,586,575
2023-07-15T13:30Z,HighPower,44,48,672,661
2023-07-15T14:00Z,HighPower,44,47,717,702
2023-07-15T14:30Z,HighPower,39,41,864,845
2023-07-15T15:00Z,MediumPower,43,39,877,903
2023-07-15T15:30Z,HighPower,43,40,850,849
2023-07-15T16:00Z,MediumPower,57,43,1043,1051
2023-07-15T16:30Z,MediumPower,61,46,853,876
2023-07-15T17:00Z,MediumPower,62,55,836,802
2023-07-15T17:30Z,HighPower,62,59,811,785
2023-07-15T18:00Z,HighPower,62,61,674,676
2023-07-15T18:30Z,MediumPower,64,60,607,608
2023-07-15T19:00Z,MediumPower,63,60,511,513
2023-07-15T19:30Z,MediumPower,68,60,388,382
2023-07-15T20:00Z,HighPower,65,60,312,307
2023-07-15T20:30Z,HighPower,64,60,267,278
2023-07-15T21:00Z,HighPower,67,62,265,273
2023-07-15T21:30Z,HighPower,68,62,220,212
2023-07-15T22:00Z,HighPower,73,59,215,208
2023-07-15T22:30Z,HighPower,88,63,156,162
2023-07-15T23:00Z,HighPower,90,70,140,147
2023-07-15T23:30Z,MediumPower,94,78,133,129
init_date,2023-07-15T00:30:00+00:00
emissions,237232
error,9
