time_slot,strategy
2023-09-09T00:00Z,MediumPower
2023-09-09T00:30Z,MediumPower
2023-09-09T01:00Z,HighPower
2023-09-09T01:30Z,MediumPower
2023-09-09T02:00Z,HighPower
2023-09-09T02:30Z,MediumPower
2023-09-09T03:00Z,MediumPower
2023-09-09T03:30Z,MediumPower
2023-09-09T04:00Z,HighPower
2023-09-09T04:30Z,MediumPower
2023-09-09T05:00Z,MediumPower
2023-09-09T05:30Z,MediumPower
2023-09-09T06:00Z,MediumPower
2023-09-09T06:30Z,MediumPower
2023-09-09T07:00Z,MediumPower
2023-09-09T07:30Z,HighPower
2023-09-09T08:00Z,HighPower
2023-09-09T08:30Z,HighPower
2023-09-09T09:00Z,HighPower
2023-09-09T09:30Z,HighPower
2023-09-09T10:00Z,HighPower
2023-09-09T10:30Z,HighPower
2023-09-09T11:00Z,HighPower
2023-09-09T11:30Z,HighPower
2023-09-09T12:00Z,HighPower
2023-09-09T12:30Z,HighPower
2023-09-09T13:00Z,HighPower
2023-09-09T13:30Z,HighPower
2023-09-09T14:00Z,HighPower
2023-09-09T14:30Z,HighPower
2023-09-09T15:00Z,HighPower
2023-09-09T15:30Z,HighPower
2023-09-09T16:00Z,HighPower
2023-09-09T16:30Z,MediumPower
2023-09-09T17:00Z,MediumPower
2023-09-09T17:30Z,MediumPower
2023-09-09T18:00Z,MediumPower
2023-09-09T18:30Z,MediumPower
2023-09-09T19:00Z,MediumPower
2023-09-09T19:30Z,MediumPower
2023-09-09T20:00Z,MediumPower
2023-09-09T20:30Z,MediumPower
2023-09-09T21:00Z,MediumPower
2023-09-09T21:30Z,MediumPower
2023-09-09T22:00Z,MediumPower
2023-09-09T22:30Z,MediumPower
2023-09-09T23:00Z,MediumPower
2023-09-09T23:30Z,MediumPower
