time_slot,strategy
2023-11-04T00:00Z,HighPower
2023-11-04T00:30Z,HighPower
2023-11-04T01:00Z,HighPower
2023-11-04T01:30Z,HighPower
2023-11-04T02:00Z,HighPower
2023-11-04T02:30Z,HighPower
2023-11-04T03:00Z,HighPower
2023-11-04T03:30Z,HighPower
2023-11-04T04:00Z,HighPower
2023-11-04T04:30Z,HighPower
2023-11-04T05:00Z,HighPower
2023-11-04T05:30Z,HighPower
2023-11-04T06:00Z,HighPower
2023-11-04T06:30Z,HighPower
2023-11-04T07:00Z,HighPower
2023-11-04T07:30Z,HighPower
2023-11-04T08:00Z,HighPower
2023-11-04T08:30Z,HighPower
2023-11-04T09:00Z,HighPower
2023-11-04T09:30Z,MediumPower
2023-11-04T10:00Z,MediumPower
2023-11-04T10:30Z,HighPower
2023-11-04T11:00Z,HighPower
2023-11-04T11:30Z,HighPower
2023-11-04T12:00Z,MediumPower
2023-11-04T12:30Z,MediumPower
2023-11-04T13:00Z,HighPower
2023-11-04T13:30Z,HighPower
2023-11-04T14:00Z,MediumPower
2023-11-04T14:30Z,MediumPower
2023-11-04T15:00Z,HighPower
2023-11-04T15:30Z,MediumPower
2023-11-04T16:00Z,MediumPower
2023-11-04T16:30Z,MediumPower
2023-11-04T17:00Z,MediumPower
2023-11-04T17:30Z,MediumPower
2023-11-04T18:00Z,MediumPower
2023-11-04T18:30Z,MediumPower
2023-11-04T19:00Z,MediumPower
2023-11-04T19:30Z,MediumPower
2023-11-04T20:00Z,MediumPower
2023-11-04T20:30Z,MediumPower
2023-11-04T21:00Z,MediumPower
2023-11-04T21:30Z,MediumPower
2023-11-04T22:00Z,MediumPower
2023-11-04T22:30Z,HighPower
2023-11-04T23:00Z,MediumPower
2023-11-04T23:30Z,MediumPower
