time_slot,strategy
2023-05-20T00:00Z,HighPower
2023-05-20T00:30Z,MediumPower
2023-05-20T01:00Z,MediumPower
2023-05-20T01:30Z,MediumPower
2023-05-20T02:00Z,MediumPower
2023-05-20T02:30Z,MediumPower
2023-05-20T03:00Z,MediumPower
2023-05-20T03:30Z,MediumPower
2023-05-20T04:00Z,MediumPower
2023-05-20T04:30Z,MediumPower
2023-05-20T05:00Z,MediumPower
2023-05-20T05:30Z,MediumPower
2023-05-20T06:00Z,MediumPower
2023-05-20T06:30Z,MediumPower
2023-05-20T07:00Z,MediumPower
2023-05-20T07:30Z,HighPower
2023-05-20T08:00Z,HighPower
2023-05-20T08:30Z,MediumPower
2023-05-20T09:00Z,HighPower
2023-05-20T09:30Z,HighPower
2023-05-20T10:00Z,HighPower
2023-05-20T10:30Z,HighPower
2023-05-20T11:00Z,HighPower
2023-05-20T11:30Z,HighPower
2023-05-20T12:00Z,HighPower
2023-05-20T12:30Z,HighPower
2023-05-20T13:00Z,HighPower
2023-05-20T13:30Z,HighPower
2023-05-20T14:00Z,HighPower
2023-05-20T14:30Z,HighPower
2023-05-20T15:00Z,HighPower
2023-05-20T15:30Z,HighPower
2023-05-20T16:00Z,HighPower
2023-05-20T16:30Z,HighPower
2023-05-20T17:00Z,HighPower
2023-05-20T17:30Z,MediumPower
2023-05-20T18:00Z,MediumPower
2023-05-20T18:30Z,MediumPower
2023-05-20T19:00Z,MediumPower
2023-05-20T19:30Z,MediumPower
2023-05-20T20:00Z,MediumPower
2023-05-20T20:30Z,MediumPower
2023-05-20T21:00Z,MediumPower
2023-05-20T21:30Z,MediumPower
2023-05-20T22:00Z,MediumPower
2023-05-20T22:30Z,HighPower
2023-05-20T23:00Z,MediumPower
2023-05-20T23:30Z,MediumPower
