time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-12-02T00:00Z,299,296,306,299
2023-12-02T00:30Z,299,300,304,294
2023-12-02T01:00Z,298,298,317,311
2023-12-02T01:30Z,298,298,313,299
2023-12-02T02:00Z,298,295,328,325
2023-12-02T02:30Z,299,302,269,274
2023-12-02T03:00Z,300,296,277,275
2023-12-02T03:30Z,304,298,297,306
2023-12-02T04:00Z,300,299,278,274
2023-12-02T04:30Z,306,306,279,287
2023-12-02T05:00Z,306,302,295,308
2023-12-02T05:30Z,309,310,313,303
2023-12-02T06:00Z,307,309,286,290
2023-12-02T06:30Z,302,312,338,330
2023-12-02T07:00Z,299,308,304,302
2023-12-02T07:30Z,292,305,306,297
2023-12-02T08:00Z,294,278,316,306
2023-12-02T08:30Z,282,294,289,276
2023-12-02T09:00Z,277,298,321,312
2023-12-02T09:30Z,273,286,324,321
2023-12-02T10:00Z,272,283,313,309
2023-12-02T10:30Z,271,278,301,316
2023-12-02T11:00Z,271,277,326,313
2023-12-02T11:30Z,271,277,292,283
2023-12-02T12:00Z,270,273,290,297
2023-12-02T12:30Z,266,276,274,284
2023-12-02T13:00Z,267,278,295,290
2023-12-02T13:30Z,268,274,291,297
2023-12-02T14:00Z,272,276,290,295
2023-12-02T14:30Z,272,277,262,276
2023-12-02T15:00Z,276,275,306,296
2023-12-02T15:30Z,272,282,312,310
2023-12-02T16:00Z,271,284,289,292
2023-12-02T16:30Z,266,280,269,279
2023-12-02T17:00Z,266,277,329,325
2023-12-02T17:30Z,266,272,261,274
2023-12-02T18:00Z,265,271,327,320
2023-12-02T18:30Z,268,274,268,276
2023-12-02T19:00Z,270,277,273,276
2023-12-02T19:30Z,273,279,309,314
2023-12-02T20:00Z,271,281,314,319
2023-12-02T20:30Z,279,278,309,303
2023-12-02T21:00Z,272,273,313,305
2023-12-02T21:30Z,260,274,306,304
2023-12-02T22:00Z,254,274,277,290
2023-12-02T22:30Z,227,256,264,277
2023-12-02T23:00Z,220,256,281,291
2023-12-02T23:30Z,219,249,313,310
