time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-03-25T00:00Z,57,73,282,285
2023-03-25T00:30Z,57,73,327,325
2023-03-25T01:00Z,57,71,297,297
2023-03-25T01:30Z,56,71,335,322
2023-03-25T02:00Z,59,71,294,303
2023-03-25T02:30Z,59,67,278,273
2023-03-25T03:00Z,58,68,321,330
2023-03-25T03:30Z,57,66,316,320
2023-03-25T04:00Z,58,67,333,328
2023-03-25T04:30Z,58,70,319,326
2023-03-25T05:00Z,58,70,315,321
2023-03-25T05:30Z,58,71,287,280
2023-03-25T06:00Z,56,70,286,299
2023-03-25T06:30Z,56,68,281,283
2023-03-25T07:00Z,56,67,308,294
2023-03-25T07:30Z,56,65,287,274
2023-03-25T08:00Z,53,58,280,293
2023-03-25T08:30Z,53,57,319,329
2023-03-25T09:00Z,50,54,279,286
2023-03-25T09:30Z,47,53,330,317
2023-03-25T10:00Z,52,51,308,297
2023-03-25T10:30Z,51,44,306,295
2023-03-25T11:00Z,50,44,322,327
2023-03-25T11:30Z,51,46,318,330
2023-03-25T12:00Z,56,35,313,303
2023-03-25T12:30Z,55,50,319,313
2023-03-25T13:00Z,53,56,282,279
2023-03-25T13:30Z,58,52,302,288
2023-03-25T14:00Z,63,56,333,328
2023-03-25T14:30Z,70,55,289,305
2023-03-25T15:00Z,89,70,312,303
2023-03-25T15:30Z,106,79,308,315
2023-03-25T16:00Z,121,106,277,273
2023-03-25T16:30Z,150,127,318,305
2023-03-25T17:00Z,165,134,289,300
2023-03-25T17:30Z,178,161,308,321
2023-03-25T18:00Z,186,177,268,279
2023-03-25T18:30Z,189,187,329,328
2023-03-25T19:00Z,188,189,268,275
2023-03-25T19:30Z,187,185,283,281
2023-03-25T20:00Z,185,199,312,306
2023-03-25T20:30Z,189,180,301,311
2023-03-25T21:00Z,190,186,287,284
2023-03-25T21:30Z,190,191,270,277
2023-03-25T22:00Z,177,187,322,323
2023-03-25T22:30Z,171,184,296,285
2023-03-25T23:00Z,164,176,316,306
2023-03-25T23:30Z,160,172,294,307
