time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-01-28T00:00Z,242,247,312,308
2023-01-28T00:30Z,243,246,268,272
2023-01-28T01:00Z,243,249,283,287
2023-01-28T01:30Z,242,246,274,283
2023-01-28T02:00Z,240,246,306,314
2023-01-28T02:30Z,242,246,324,311
2023-01-28T03:00Z,241,248,328,324
2023-01-28T03:30Z,240,247,278,275
2023-01-28T04:00Z,242,250,285,295
2023-01-28T04:30Z,238,248,278,272
2023-01-28T05:00Z,241,252,273,283
2023-01-28T05:30Z,245,254,296,300
2023-01-28T06:00Z,250,258,285,272
2023-01-28T06:30Z,256,254,285,282
2023-01-28T07:00Z,269,261,310,309
2023-01-28T07:30Z,270,266,308,303
2023-01-28T08:00Z,270,269,292,283
2023-01-28T08:30Z,273,269,313,305
2023-01-28T09:00Z,262,267,310,319
2023-01-28T09:30Z,262,271,257,270
2023-01-28T10:00Z,255,265,312,318
2023-01-28T10:30Z,254,264,304,312
2023-01-28T11:00Z,255,257,281,290
2023-01-28T11:30Z,256,252,291,279
2023-01-28T12:00Z,256,260,339,327
2023-01-28T12:30Z,254,262,284,290
2023-01-28T13:00Z,255,263,280,276
2023-01-28T13:30Z,255,261,273,276
2023-01-28T14:00Z,263,258,334,321
2023-01-28T14:30Z,266,256,304,306
2023-01-28T15:00Z,268,263,310,318
2023-01-28T15:30Z,270,272,306,314
2023-01-28T16:00Z,266,271,303,302
2023-01-28T16:30Z,259,271,320,328
2023-01-28T17:00Z,251,274,295,293
2023-01-28T17:30Z,250,264,315,303
2023-01-28T18:00Z,252,257,316,320
2023-01-28T18:30Z,252,254,298,307
2023-01-28T19:00Z,262,256,338,322
2023-01-28T19:30Z,256,254,305,305
2023-01-28T20:00Z,265,264,299,312
2023-01-28T20:30Z,259,256,260,273
2023-01-28T21:00Z,256,255,272,284
2023-01-28T21:30Z,242,246,290,287
2023-01-28T22:00Z,223,250,283,275
2023-01-28T22:30Z,210,236,281,284
2023-01-28T23:00Z,176,219,263,276
2023-01-28T23:30Z,164,203,283,287
