time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-06-17T00:00Z,250,250,278,293
2023-06-17T00:30Z,253,248,260,270
2023-06-17T01:00Z,248,243,280,291
2023-06-17T01:30Z,244,243,320,315
2023-06-17T02:00Z,242,245,323,321
2023-06-17T02:30Z,249,237,317,327
2023-06-17T03:00Z,251,243,300,295
2023-06-17T03:30Z,249,245,323,315
2023-06-17T04:00Z,247,246,292,303
2023-06-17T04:30Z,234,243,309,306
2023-06-17T05:00Z,231,252,290,283
2023-06-17T05:30Z,222,240,272,283
2023-06-17T06:00Z,218,236,305,296
2023-06-17T06:30Z,209,229,284,272
2023-06-17T07:00Z,204,220,278,290
2023-06-17T07:30Z,193,213,296,311
2023-06-17T08:00Z,186,207,288,294
2023-06-17T08:30Z,178,193,284,280
2023-06-17T09:00Z,173,187,311,298
2023-06-17T09:30Z,165,177,275,278
2023-06-17T10:00Z,159,173,313,307
2023-06-17T10:30Z,156,164,260,272
2023-06-17T11:00Z,153,160,299,294
2023-06-17T11:30Z,148,149,307,304
2023-06-17T12:00Z,143,151,261,272
2023-06-17T12:30Z,138,140,317,309
2023-06-17T13:00Z,134,138,287,278
2023-06-17T13:30Z,138,133,300,298
2023-06-17T14:00Z,143,135,262,273
2023-06-17T14:30Z,164,141,307,293
2023-06-17T15:00Z,169,146,290,283
2023-06-17T15:30Z,184,184,285,290
2023-06-17T16:00Z,193,180,313,316
2023-06-17T16:30Z,197,194,289,293
2023-06-17T17:00Z,206,198,315,315
2023-06-17T17:30Z,216,204,314,320
2023-06-17T18:00Z,224,207,294,285
2023-06-17T18:30Z,226,211,283,275
2023-06-17T19:00Z,230,216,260,271
2023-06-17T19:30Z,234,217,315,302
2023-06-17T20:00Z,233,219,334,330
2023-06-17T20:30Z,230,218,300,291
2023-06-17T21:00Z,225,218,315,309
2023-06-17T21:30Z,234,208,314,317
2023-06-17T22:00Z,224,197,316,309
2023-06-17T22:30Z,217,180,329,315
2023-06-17T23:00Z,213,177,319,327
2023-06-17T23:30Z,207,178,290,282
