time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-11-04T00:00Z,129,108,320,310
2023-11-04T00:30Z,122,103,303,305
2023-11-04T01:00Z,127,108,324,319
2023-11-04T01:30Z,135,101,330,326
2023-11-04T02:00Z,149,110,279,277
2023-11-04T02:30Z,158,117,270,284
2023-11-04T03:00Z,156,121,279,272
2023-11-04T03:30Z,156,137,314,323
2023-11-04T04:00Z,151,141,292,304
2023-11-04T04:30Z,153,141,327,325
2023-11-04T05:00Z,149,140,270,283
2023-11-04T05:30Z,164,138,281,274
2023-11-04T06:00Z,166,138,309,319
2023-11-04T06:30Z,167,149,315,325
2023-11-04T07:00Z,157,152,298,288
2023-11-04T07:30Z,172,159,288,294
2023-11-04T08:00Z,179,146,268,278
2023-11-04T08:30Z,180,153,340,327
2023-11-04T09:00Z,176,160,273,288
2023-11-04T09:30Z,174,166,310,300
2023-11-04T10:00Z,175,161,266,276
2023-11-04T10:30Z,182,159,311,323
2023-11-04T11:00Z,175,155,271,278
2023-11-04T11:30Z,169,158,287,297
2023-11-04T12:00Z,159,165,314,310
2023-11-04T12:30Z,159,163,300,315
2023-11-04T13:00Z,160,143,311,327
2023-11-04T13:30Z,149,144,303,295
2023-11-04T14:00Z,143,169,306,315
2023-11-04T14:30Z,147,166,274,279
2023-11-04T15:00Z,159,154,285,295
2023-11-04T15:30Z,166,161,263,276
2023-11-04T16:00Z,177,169,306,299
2023-11-04T16:30Z,181,178,294,294
2023-11-04T17:00Z,175,178,335,327
2023-11-04T17:30Z,179,187,271,272
2023-11-04T18:00Z,194,176,300,292
2023-11-04T18:30Z,194,176,297,297
2023-11-04T19:00Z,192,191,314,327
2023-11-04T19:30Z,187,201,321,321
2023-11-04T20:00Z,190,197,288,276
2023-11-04T20:30Z,186,196,296,311
2023-11-04T21:00Z,183,200,311,303
2023-11-04T21:30Z,186,197,341,329
2023-11-04T22:00Z,180,197,292,292
2023-11-04T22:30Z,169,177,292,294
2023-11-04T23:00Z,169,181,294,281
2023-11-04T23:30Z,168,174,264,277
