time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-08-12T00:00Z,145,144,315,329
2023-08-12T00:30Z,129,133,301,288
2023-08-12T01:00Z,123,124,317,307
2023-08-12T01:30Z,122,118,309,307
2023-08-12T02:00Z,118,108,328,314
2023-08-12T02:30Z,125,104,343,327
2023-08-12T03:00Z,117,106,286,282
2023-08-12T03:30Z,121,110,276,283
2023-08-12T04:00Z,121,100,295,310
2023-08-12T04:30Z,112,106,286,279
2023-08-12T05:00Z,110,103,279,280
2023-08-12T05:30Z,100,99,279,275
2023-08-12T06:00Z,97,96,281,270
2023-08-12T06:30Z,100,92,287,297
2023-08-12T07:00Z,115,86,308,306
2023-08-12T07:30Z,102,91,290,287
2023-08-12T08:00Z,86,86,283,284
2023-08-12T08:30Z,82,88,299,312
2023-08-12T09:00Z,75,78,307,312
2023-08-12T09:30Z,80,79,292,297
2023-08-12T10:00Z,73,69,316,311
2023-08-12T10:30Z,68,74,336,325
2023-08-12T11:00Z,66,64,311,317
2023-08-12T11:30Z,62,65,313,308
2023-08-12T12:00Z,62,63,303,310
2023-08-12T12:30Z,64,60,340,326
2023-08-12T13:00Z,63,58,305,296
2023-08-12T13:30Z,70,63,304,303
2023-08-12T14:00Z,72,57,307,309
2023-08-12T14:30Z,66,63,318,325
2023-08-12T15:00Z,73,63,314,320
2023-08-12T15:30Z,74,60,286,274
2023-08-12T16:00Z,78,66,277,280
2023-08-12T16:30Z,97,70,288,288
2023-08-12T17:00Z,109,75,330,315
2023-08-12T17:30Z,111,88,308,304
2023-08-12T18:00Z,112,98,288,287
2023-08-12T18:30Z,119,98,274,277
2023-08-12T19:00Z,121,103,301,311
2023-08-12T19:30Z,122,104,307,312
2023-08-12T20:00Z,117,105,335,327
2023-08-12T20:30Z,117,105,303,300
2023-08-12T21:00Z,110,102,307,300
2023-08-12T21:30Z,93,100,266,275
2023-08-12T22:00Z,89,101,273,272
2023-08-12T22:30Z,91,85,308,296
2023-08-12T23:00Z,87,81,287,289
2023-08-12T23:30Z,88,81,290,285
