time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-09-09T00:00Z,230,248,284,277
2023-09-09T00:30Z,219,233,313,328
2023-09-09T01:00Z,217,222,314,307
2023-09-09T01:30Z,214,222,289,284
2023-09-09T02:00Z,211,212,288,280
2023-09-09T02:30Z,208,213,299,303
2023-09-09T03:00Z,208,214,307,303
2023-09-09T03:30Z,215,211,284,276
2023-09-09T04:00Z,215,209,345,330
2023-09-09T04:30Z,216,218,324,325
2023-09-09T05:00Z,213,216,284,298
2023-09-09T05:30Z,208,218,277,277
2023-09-09T06:00Z,203,211,322,320
2023-09-09T06:30Z,198,211,311,300
2023-09-09T07:00Z,191,210,324,313
2023-09-09T07:30Z,184,199,299,301
2023-09-09T08:00Z,177,191,286,286
2023-09-09T08:30Z,168,182,318,320
2023-09-09T09:00Z,158,169,336,329
2023-09-09T09:30Z,147,165,282,285
2023-09-09T10:00Z,138,156,307,303
2023-09-09T10:30Z,130,149,282,293
2023-09-09T11:00Z,126,139,324,325
2023-09-09T11:30Z,125,130,314,300
2023-09-09T12:00Z,125,128,317,323
2023-09-09T12:30Z,126,130,328,322
2023-09-09T13:00Z,132,129,291,287
2023-09-09T13:30Z,140,131,328,317
2023-09-09T14:00Z,148,137,305,295
2023-09-09T14:30Z,162,144,337,326
2023-09-09T15:00Z,181,162,296,300
2023-09-09T15:30Z,204,179,313,319
2023-09-09T16:00Z,219,195,293,287
2023-09-09T16:30Z,235,222,295,288
2023-09-09T17:00Z,246,230,316,305
2023-09-09T17:30Z,251,238,314,330
2023-09-09T18:00Z,254,253,286,299
2023-09-09T18:30Z,261,260,282,279
2023-09-09T19:00Z,263,263,314,302
2023-09-09T19:30Z,270,263,305,291
2023-09-09T20:00Z,271,262,310,303
2023-09-09T20:30Z,275,268,300,303
2023-09-09T21:00Z,267,271,285,297
2023-09-09T21:30Z,247,269,292,289
2023-09-09T22:00Z,236,262,291,281
2023-09-09T22:30Z,227,241,310,312
2023-09-09T23:00Z,227,239,309,304
2023-09-09T23:30Z,219,230,295,284
