time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-04-22T00:00Z,169,159,286,295
2023-04-22T00:30Z,161,168,296,287
2023-04-22T01:00Z,161,170,268,270
2023-04-22T01:30Z,161,163,309,316
2023-04-22T02:00Z,161,165,317,308
2023-04-22T02:30Z,165,159,278,286
2023-04-22T03:00Z,166,168,299,314
2023-04-22T03:30Z,162,168,293,303
2023-04-22T04:00Z,156,168,290,296
2023-04-22T04:30Z,153,165,280,271
2023-04-22T05:00Z,161,163,287,275
2023-04-22T05:30Z,162,186,315,323
2023-04-22T06:00Z,162,154,328,324
2023-04-22T06:30Z,163,168,299,303
2023-04-22T07:00Z,160,154,335,320
2023-04-22T07:30Z,156,162,306,305
2023-04-22T08:00Z,151,157,291,279
2023-04-22T08:30Z,145,158,267,278
2023-04-22T09:00Z,140,152,301,288
2023-04-22T09:30Z,135,144,313,324
2023-04-22T10:00Z,130,141,332,318
2023-04-22T10:30Z,125,137,314,322
2023-04-22T11:00Z,127,132,311,324
2023-04-22T11:30Z,125,122,281,283
2023-04-22T12:00Z,129,123,291,285
2023-04-22T12:30Z,133,127,270,276
2023-04-22T13:00Z,136,132,320,317
2023-04-22T13:30Z,144,136,323,323
2023-04-22T14:00Z,147,148,290,294
2023-04-22T14:30Z,158,152,309,307
2023-04-22T15:00Z,166,161,272,279
2023-04-22T15:30Z,169,163,332,326
2023-04-22T16:00Z,176,173,305,322
2023-04-22T16:30Z,177,174,343,329
2023-04-22T17:00Z,182,181,320,319
2023-04-22T17:30Z,188,183,330,323
2023-04-22T18:00Z,191,187,277,271
2023-04-22T18:30Z,192,196,319,314
2023-04-22T19:00Z,194,198,286,290
2023-04-22T19:30Z,200,195,311,326
2023-04-22T20:00Z,196,196,323,318
2023-04-22T20:30Z,192,200,316,322
2023-04-22T21:00Z,182,209,313,319
2023-04-22T21:30Z,144,184,295,286
2023-04-22T22:00Z,128,180,323,317
2023-04-22T22:30Z,118,148,270,276
2023-04-22T23:00Z,112,143,315,322
2023-04-22T23:30Z,108,133,319,322
