time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-02-25T00:00Z,96,133,327,330
2023-02-25T00:30Z,104,111,293,302
2023-02-25T01:00Z,102,113,329,328
2023-02-25T01:30Z,100,107,329,322
2023-02-25T02:00Z,96,107,262,271
2023-02-25T02:30Z,93,107,307,313
2023-02-25T03:00Z,88,109,326,311
2023-02-25T03:30Z,90,97,306,302
2023-02-25T04:00Z,92,93,284,286
2023-02-25T04:30Z,91,91,308,308
2023-02-25T05:00Z,92,99,266,277
2023-02-25T05:30Z,96,94,287,296
2023-02-25T06:00Z,97,98,292,297
2023-02-25T06:30Z,105,93,329,327
2023-02-25T07:00Z,116,99,314,323
2023-02-25T07:30Z,119,112,277,286
2023-02-25T08:00Z,113,116,287,300
2023-02-25T08:30Z,116,115,284,281
2023-02-25T09:00Z,114,114,316,325
2023-02-25T09:30Z,117,123,335,322
2023-02-25T10:00Z,116,118,298,288
2023-02-25T10:30Z,110,116,294,308
2023-02-25T11:00Z,104,121,298,307
2023-02-25T11:30Z,104,110,283,279
2023-02-25T12:00Z,102,112,306,316
2023-02-25T12:30Z,103,104,290,302
2023-02-25T13:00Z,106,106,330,317
2023-02-25T13:30Z,107,105,304,302
2023-02-25T14:00Z,107,108,269,270
2023-02-25T14:30Z,110,112,297,289
2023-02-25T15:00Z,119,111,279,271
2023-02-25T15:30Z,130,116,315,326
2023-02-25T16:00Z,135,125,309,323
2023-02-25T16:30Z,144,147,317,320
2023-02-25T17:00Z,152,155,285,288
2023-02-25T17:30Z,155,161,272,273
2023-02-25T18:00Z,158,156,330,323
2023-02-25T18:30Z,158,153,332,327
2023-02-25T19:00Z,157,151,288,275
2023-02-25T19:30Z,158,151,286,299
2023-02-25T20:00Z,161,158,271,274
2023-02-25T20:30Z,164,149,310,316
2023-02-25T21:00Z,163,158,327,316
2023-02-25T21:30Z,156,164,271,278
2023-02-25T22:00Z,152,155,289,299
2023-02-25T22:30Z,147,151,301,303
2023-02-25T23:00Z,130,149,283,286
2023-02-25T23:30Z,125,149,314,322
