time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-07-15T00:00Z,73,70,303,302
2023-07-15T00:30Z,74,71,306,299
2023-07-15T01:00Z,74,72,286,296
2023-07-15T01:30Z,74,72,305,314
2023-07-15T02:00Z,74,74,285,286
2023-07-15T02:30Z,76,74,328,321
2023-07-15T03:00Z,77,73,335,320
2023-07-15T03:30Z,76,75,275,275
2023-07-15T04:00Z,72,73,315,323
2023-07-15T04:30Z,65,74,273,285
2023-07-15T05:00Z,63,71,288,298
2023-07-15T05:30Z,62,67,298,307
2023-07-15T06:00Z,59,60,283,293
2023-07-15T06:30Z,58,60,258,272
2023-07-15T07:00Z,56,58,322,321
2023-07-15T07:30Z,59,59,274,281
2023-07-15T08:00Z,56,49,296,283
2023-07-15T08:30Z,50,53,319,318
2023-07-15T09:00Z,47,58,295,290
2023-07-15T09:30Z,54,49,310,323
2023-07-15T10:00Z,58,45,323,312
2023-07-15T10:30Z,54,50,286,287
2023-07-15T11:00Z,50,49,281,271
2023-07-15T11:30Z,53,54,329,327
2023-07-15T12:00Z,50,49,274,275
2023-07-15T12:30Z,48,50,311,313
2023-07-15T13:00Z,49,49,289,299
2023-07-15T13:30Z,44,48,300,315
2023-07-15T14:00Z,44,47,324,311
2023-07-15T14:30Z,39,41,308,309
2023-07-15T15:00Z,43,39,308,299
2023-07-15T15:30Z,43,40,314,318
2023-07-15T16:00Z,57,43,264,276
2023-07-15T16:30Z,61,46,286,283
2023-07-15T17:00Z,62,55,298,312
2023-07-15T17:30Z,62,59,277,288
2023-07-15T18:00Z,62,61,306,305
2023-07-15T18:30Z,64,60,292,298
2023-07-15T19:00Z,63,60,316,302
2023-07-15T19:30Z,68,60,284,296
2023-07-15T20:00Z,65,60,323,315
2023-07-15T20:30Z,64,60,293,290
2023-07-15T21:00Z,67,62,321,312
2023-07-15T21:30Z,68,62,278,286
2023-07-15T22:00Z,73,59,285,285
2023-07-15T22:30Z,88,63,275,277
2023-07-15T23:00Z,90,70,280,282
2023-07-15T23:30Z,94,78,286,277
