time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-05-20T00:00Z,HighPower,129,133,106,102
2023-05-20T00:30Z,HighPower,134,145,155,162
2023-05-20T01:00Z,HighPower,129,146,198,190
2023-05-20T01:30Z,HighPower,126,139,255,268
2023-05-20T02:00Z,HighPower,122,138,316,304
2023-05-20T02:30Z,HighPower,122,136,386,377
2023-05-20T03:00Z,HighPower,120,141,409,392
2023-05-20T03:30Z,HighPower,115,150,476,476
2023-05-20T04:00Z,MediumPower,115,149,495,492
2023-05-20T04:30Z,HighPower,118,124,581,565
2023-05-20T05:00Z,MediumPower,121,129,633,623
2023-05-20T05:30Z,MediumPower,125,130,744,754
2023-05-20T06:00Z,HighPower,116,129,726,738
2023-05-20T06:30Z,HighPower,100,131,834,865
2023-05-20T07:00Z,HighPower,89,130,906,895
2023-05-20T07:30Z,HighPower,87,105,904,919
2023-05-20T08:00Z,HighPower,78,101,897,942
2023-05-20T08:30Z,MediumPower,71,112,903,915
2023-05-20T09:00Z,HighPower,66,105,908,924
2023-05-20T09:30Z,HighPower,61,72,794,777
2023-05-20T10:00Z,HighPower,58,71,743,726
2023-05-20T10:30Z,HighPower,58,64,690,703
2023-05-20T11:00Z,HighPower,56,64,581,595
2023-05-20T11:30Z,HighPower,56,60,572,594
2023-05-20T12:00Z,HighPower,55,62,544,530
2023-05-20T12:30Z,HighPower,54,56,639,613
2023-05-20T13:00Z,HighPower,54,59,648,654
2023-05-20T13:30Z,HighPower,57,58,667,683
2023-05-20T14:00Z,HighPower,58,61,679,691
2023-05-20T14:30Z,HighPower,62,61,846,876
2023-05-20T15:00Z,HighPower,75,64,818,857
2023-05-20T15:30Z,HighPower,91,67,827,845
2023-05-20T16:00Z,HighPower,105,73,1128,1086
2023-05-20T16:30Z,HighPower,115,101,906,948
2023-05-20T17:00Z,HighPower,122,109,800,776
2023-05-20T17:30Z,HighPower,127,123,687,686
2023-05-20T18:00Z,HighPower,134,127,649,634
2023-05-20T18:30Z,MediumPower,137,136,620,603
2023-05-20T19:00Z,HighPower,141,143,437,426
2023-05-20T19:30Z,LowPower,145,155,348,363
2023-05-20T20:00Z,LowPower,147,158,324,310
2023-05-20T20:30Z,HighPower,146,148,263,256
2023-05-20T21:00Z,MediumPower,138,150,236,248
2023-05-20T21:30Z,HighPower,126,147,208,210
2023-05-20T22:00Z,HighPower,120,138,208,214
2023-05-20T22:30Z,HighPower,119,124,159,159
2023-05-20T23:00Z,HighPower,115,126,136,140
2023-05-20T23:30Z,HighPower,117,120,124,126
init_date,2023-05-20T00:30:00+00:00
emissions,540929
error,4
optimal,true
