time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-10-04T00:00Z,HighPower,66,69,103,102
2023-10-04T00:30Z,HighPower,63,69,135,136
2023-10-04T01:00Z,HighPower,64,65,182,187
2023-10-04T01:30Z,HighPower,62,62,245,249
2023-10-04T02:00Z,HighPower,66,63,338,327
2023-10-04T02:30Z,HighPower,68,64,359,358
2023-10-04T03:00Z,HighPower,65,64,441,422
2023-10-04T03:30Z,HighPower,70,67,415,436
2023-10-04T04:00Z,HighPower,84,62,446,450
2023-10-04T04:30Z,HighPower,106,68,554,532
2023-10-04T05:00Z,HighPower,113,82,569,576
2023-10-04T05:30Z,HighPower,114,105,677,690
2023-10-04T06:00Z,HighPower,107,103,678,687
2023-10-04T06:30Z,MediumPower,89,103,783,787
2023-10-04T07:00Z,MediumPower,84,95,874,917
2023-10-04T07:30Z,HighPower,82,90,946,941
2023-10-04T08:00Z,HighPower,75,87,976,943
2023-10-04T08:30Z,HighPower,67,73,967,987
2023-10-04T09:00Z,HighPower,55,64,919,901
2023-10-04T09:30Z,HighPower,53,63,773,774
2023-10-04T10:00Z,HighPower,49,54,676,702
2023-10-04T10:30Z,HighPower,44,46,740,725
2023-10-04T11:00Z,HighPower,44,38,644,645
2023-10-04T11:30Z,HighPower,42,34,587,611
2023-10-04T12:00Z,HighPower,42,34,505,497
2023-10-04T12:30Z,HighPower,45,33,533,525
2023-10-04T13:00Z,HighPower,50,34,656,645
2023-10-04T13:30Z,HighPower,55,34,627,623
2023-10-04T14:00Z,HighPower,68,35,767,769
2023-10-04T14:30Z,HighPower,83,38,802,775
2023-10-04T15:00Z,HighPower,100,66,860,860
2023-10-04T15:30Z,HighPower,122,85,893,903
2023-10-04T16:00Z,HighPower,131,94,1060,1061
2023-10-04T16:30Z,MediumPower,138,121,1004,959
2023-10-04T17:00Z,MediumPower,141,129,756,748
2023-10-04T17:30Z,MediumPower,137,145,759,771
2023-10-04T18:00Z,MediumPower,136,136,736,703
2023-10-04T18:30Z,MediumPower,133,128,513,523
2023-10-04T19:00Z,MediumPower,128,118,474,498
2023-10-04T19:30Z,MediumPower,124,124,364,382
2023-10-04T20:00Z,HighPower,113,114,285,276
2023-10-04T20:30Z,HighPower,98,126,291,296
2023-10-04T21:00Z,MediumPower,83,122,267,261
2023-10-04T21:30Z,HighPower,69,120,218,229
2023-10-04T22:00Z,HighPower,67,80,200,193
2023-10-04T22:30Z,HighPower,76,71,161,164
2023-10-04T23:00Z,HighPower,71,63,148,155
2023-10-04T23:30Z,HighPower,68,76,118,120
init_date,2023-10-04T00:30:00+00:00
emissions,422313
error,5
optimal,true
