time_slot,strategy,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-09-09T00:00Z,MediumPower,230,248,94,92
2023-09-09T00:30Z,MediumPower,219,233,156,164
2023-09-09T01:00Z,MediumPower,217,222,208,204
2023-09-09T01:30Z,MediumPower,214,222,241,237
2023-09-09T02:00Z,MediumPower,211,212,288,280
2023-09-09T02:30Z,MediumPower,208,213,349,354
2023-09-09T03:00Z,MediumPower,208,214,410,404
2023-09-09T03:30Z,MediumPower,215,211,426,413
2023-09-09T04:00Z,MediumPower,215,209,575,549
2023-09-09T04:30Z,MediumPower,216,218,607,608
2023-09-09T05:00Z,MediumPower,213,216,590,619
2023-09-09T05:30Z,MediumPower,208,218,634,634
2023-09-09T06:00Z,MediumPower,203,211,805,798
2023-09-09T06:30Z,MediumPower,198,211,839,810
2023-09-09T07:00Z,MediumPower,191,210,944,910
2023-09-09T07:30Z,MediumPower,184,199,930,936
2023-09-09T08:00Z,MediumPower,177,191,957,955
2023-09-09T08:30Z,MediumPower,168,182,995,1000
2023-09-09T09:00Z,MediumPower,158,169,979,958
2023-09-09T09:30Z,MediumPower,147,165,762,769
2023-09-09T10:00Z,MediumPower,138,156,767,756
2023-09-09T10:30Z,MediumPower,130,149,645,669
2023-09-09T11:00Z,HighPower,126,139,671,674
2023-09-09T11:30Z,HighPower,125,130,586,560
2023-09-09T12:00Z,HighPower,125,128,529,538
2023-09-09T12:30Z,HighPower,126,130,614,603
2023-09-09T13:00Z,HighPower,132,129,604,596
2023-09-09T13:30Z,MediumPower,140,131,751,726
2023-09-09T14:00Z,MediumPower,148,137,760,735
2023-09-09T14:30Z,MediumPower,162,144,911,880
2023-09-09T15:00Z,MediumPower,181,162,862,873
2023-09-09T15:30Z,MediumPower,204,179,975,994
2023-09-09T16:00Z,MediumPower,219,195,977,957
2023-09-09T16:30Z,MediumPower,235,222,897,875
2023-09-09T17:00Z,MediumPower,246,230,869,838
2023-09-09T17:30Z,MediumPower,251,238,771,809
2023-09-09T18:00Z,MediumPower,254,253,619,647
2023-09-09T18:30Z,MediumPower,261,260,527,521
2023-09-09T19:00Z,MediumPower,263,263,496,476
2023-09-09T19:30Z,MediumPower,270,263,390,372
2023-09-09T20:00Z,MediumPower,271,262,310,303
2023-09-09T20:30Z,MediumPower,275,268,275,277
2023-09-09T21:00Z,MediumPower,267,271,238,248
2023-09-09T21:30Z,MediumPower,247,269,219,217
2023-09-09T22:00Z,MediumPower,236,262,195,188
2023-09-09T22:30Z,MediumPower,227,241,180,182
2023-09-09T23:00Z,MediumPower,227,239,154,152
2023-09-09T23:30Z,MediumPower,219,230,122,118
