time,strategy,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-01-28T00:00Z,HighPower,242,247,100,99
2023-01-28T00:30Z,HighPower,243,246,142,142
2023-01-28T01:00Z,HighPower,243,249,203,205
2023-01-28T01:30Z,HighPower,242,246,231,237
2023-01-28T02:00Z,HighPower,240,246,312,298
2023-01-28T02:30Z,HighPower,242,246,383,382
2023-01-28T03:00Z,HighPower,241,248,364,366
2023-01-28T03:30Z,HighPower,240,247,427,433
2023-01-28T04:00Z,HighPower,242,250,510,517
2023-01-28T04:30Z,HighPower,238,248,498,515
2023-01-28T05:00Z,HighPower,241,252,555,580
2023-01-28T05:30Z,HighPower,245,254,724,730
2023-01-28T06:00Z,HighPower,250,258,843,819
2023-01-28T06:30Z,HighPower,256,254,816,780
2023-01-28T07:00Z,HighPower,269,261,841,817
2023-01-28T07:30Z,MediumPower,270,266,998,1022
2023-01-28T08:00Z,MediumPower,270,269,954,965
2023-01-28T08:30Z,MediumPower,273,269,957,956
2023-01-28T09:00Z,MediumPower,262,267,915,892
2023-01-28T09:30Z,MediumPower,262,271,795,832
2023-01-28T10:00Z,MediumPower,255,265,847,810
2023-01-28T10:30Z,HighPower,254,264,725,748
2023-01-28T11:00Z,HighPower,255,257,640,646
2023-01-28T11:30Z,HighPower,256,252,570,595
2023-01-28T12:00Z,HighPower,256,260,507,529
2023-01-28T12:30Z,HighPower,254,262,568,578
2023-01-28T13:00Z,HighPower,255,263,635,615
2023-01-28T13:30Z,HighPower,255,261,639,648
2023-01-28T14:00Z,HighPower,263,258,744,713
2023-01-28T14:30Z,HighPower,266,256,877,879
2023-01-28T15:00Z,MediumPower,268,263,913,906
2023-01-28T15:30Z,MediumPower,270,272,831,860
2023-01-28T16:00Z,MediumPower,266,271,1091,1082
2023-01-28T16:30Z,MediumPower,259,271,866,870
2023-01-28T17:00Z,MediumPower,251,274,816,855
2023-01-28T17:30Z,HighPower,250,264,733,730
2023-01-28T18:00Z,HighPower,252,257,595,618
2023-01-28T18:30Z,HighPower,252,254,552,527
2023-01-28T19:00Z,HighPower,262,256,501,479
2023-01-28T19:30Z,HighPower,256,254,361,377
2023-01-28T20:00Z,MediumPower,265,264,318,307
2023-01-28T20:30Z,HighPower,259,256,280,285
2023-01-28T21:00Z,HighPower,256,255,274,265
2023-01-28T21:30Z,HighPower,242,246,231,240
2023-01-28T22:00Z,HighPower,223,250,203,205
2023-01-28T22:30Z,HighPower,210,236,182,191
2023-01-28T23:00Z,HighPower,176,219,150,149
2023-01-28T23:30Z,HighPower,164,203,129,134
init_date,2023-01-28T00:30Z
emissions,1235316
error,7
optimal,true
