time_slot,strategy
2023-02-25T00:00Z,MediumPower
2023-02-25T00:30Z,HighPower
2023-02-25T01:00Z,MediumPower
2023-02-25T01:30Z,HighPower
2023-02-25T02:00Z,HighPower
2023-02-25T02:30Z,HighPower
2023-02-25T03:00Z,HighPower
2023-02-25T03:30Z,HighPower
2023-02-25T04:00Z,HighPower
2023-02-25T04:30Z,HighPower
2023-02-25T05:00Z,HighPower
2023-02-25T05:30Z,HighPower
2023-02-25T06:00Z,HighPower
2023-02-25T06:30Z,HighPower
2023-02-25T07:00Z,HighPower
2023-02-25T07:30Z,HighPower
2023-02-25T08:00Z,HighPower
2023-02-25T08:30Z,HighPower
2023-02-25T09:00Z,HighPower
2023-02-25T09:30Z,MediumPower
2023-02-25T10:00Z,HighPower
2023-02-25T10:30Z,HighPower
2023-02-25T11:00Z,MediumPower
2023-02-25T11:30Z,HighPower
2023-02-25T12:00Z,HighPower
2023-02-25T12:30Z,HighPower
2023-02-25T13:00Z,HighPower
2023-02-25T13:30Z,HighPower
2023-02-25T14:00Z,HighPower
2023-02-25T14:30Z,HighPower
2023-02-25T15:00Z,HighPower
2023-02-25T15:30Z,MediumPower
2023-02-25T16:00Z,MediumPower
2023-02-25T16:30Z,MediumPower
2023-02-25T17:00Z,MediumPower
2023-02-25T17:30Z,MediumPower
2023-02-25T18:00Z,MediumPower
2023-02-25T18:30Z,MediumPower
2023-02-25T19:00Z,MediumPower
2023-02-25T19:30Z,MediumPower
2023-02-25T20:00Z,MediumPower
2023-02-25T20:30Z,MediumPower
2023-02-25T21:00Z,MediumPower
2023-02-25T21:30Z,MediumPower
2023-02-25T22:00Z,MediumPower
2023-02-25T22:30Z,MediumPower
2023-02-25T23:00Z,MediumPower
2023-02-25T23:30Z,MediumPower
